player_1_score,player_2_score,player_3_score,player_4_score
71,116,77,63
163,64,67,50
80,57,82,48
76,176,51,53
78,65,64,75
114,79,38,69
90,164,73,86
71,118,70,117
76,92,43,72
81,48,61,68
118,58,75,53
137,63,52,73
84,57,52,53
70,63,82,53
142,51,66,100
84,64,51,41
130,60,42,83
66,83,44,86
69,73,88,47
163,45,56,71
78,70,48,70
77,115,130,38
158,63,54,57
71,60,103,64
97,51,44,48
154,133,47,34
96,113,52,56
84,47,51,66
91,58,113,58
63,69,118,59
174,46,71,56
152,83,49,64
79,119,70,33
64,57,98,85
101,51,43,35
79,42,119,70
88,52,131,60
71,71,51,52
93,59,50,49
173,108,69,51
49,61,45,68
95,212,64,51
79,54,40,58
81,57,62,54
82,68,121,55
76,71,59,76
68,61,75,62
75,81,46,148
81,63,59,56
62,67,57,103
62,56,159,109
87,99,55,94
83,71,56,44
106,59,44,56
71,75,118,71
72,59,68,61
130,50,66,47
91,42,85,56
93,48,74,73
85,70,57,45
74,47,117,77
181,55,50,63
152,68,46,56
80,47,69,60
73,63,45,66
77,67,58,50
103,58,46,59
83,119,61,48
61,53,97,44
71,68,66,58
92,55,123,105
109,56,76,50
89,52,69,56
90,107,65,57
74,137,67,49
82,50,157,72
73,77,37,55
64,54,46,62
138,57,43,78
80,64,60,49
90,50,47,55
89,72,50,58
83,95,36,101
96,53,61,71
77,60,42,64
119,57,63,58
113,51,40,51
131,82,52,63
80,172,58,42
75,111,60,60
93,69,44,42
97,47,55,67
88,51,55,46
196,69,50,46
83,80,58,109
60,65,54,70
63,57,48,78
90,57,51,40
125,57,56,75
102,51,97,80
85,61,57,71
71,41,112,76
59,68,60,51
104,68,61,62
66,69,58,51
78,51,82,53
86,63,59,51
86,53,58,73
171,76,54,52
80,107,57,47
208,71,40,61
101,41,62,66
74,66,56,58
58,40,103,63
86,162,60,50
150,47,126,50
87,48,68,78
86,63,60,106
117,53,64,52
128,64,43,46
67,54,66,180
62,81,61,39
85,120,34,52
89,105,44,54
96,68,47,55
65,42,66,64
88,42,63,50
54,100,57,59
107,58,54,44
152,78,49,60
139,81,92,80
80,53,66,61
69,39,77,103
73,111,73,59
83,70,58,46
96,40,68,62
48,85,65,69
90,52,77,44
188,74,47,44
79,63,66,50
80,205,54,55
81,61,57,46
75,47,114,54
77,70,55,118
58,56,44,66
117,56,49,40
141,58,69,86
66,72,63,60
92,69,55,49
67,82,43,52
62,42,56,42
143,104,56,44
95,78,161,46
75,139,40,60
62,74,51,67
78,64,76,62
83,55,39,123
77,78,47,124
85,61,58,52
139,69,104,48
75,65,51,66
62,86,52,84
126,54,98,39
129,57,72,53
63,63,66,96
131,53,76,39
113,64,86,113
73,105,122,44
72,154,112,59
143,62,115,113
85,168,101,49
82,62,103,59
93,82,60,68
83,79,42,49
125,148,53,111
129,63,59,74
172,46,63,42
93,48,47,61
81,56,56,73
123,50,49,42
137,78,83,45
98,93,47,62
67,31,108,57
78,107,56,48
145,70,46,57
87,50,64,54
85,70,46,66
93,84,110,62
58,49,75,64
151,60,95,52
161,58,63,48
75,69,58,62
99,56,60,67
87,54,103,61
112,61,60,55
52,84,70,42
74,61,70,64
116,106,60,39
129,124,56,102
144,64,46,105
