player_1_score,player_2_score,player_3_score,player_4_score
137,72,62,51
79,175,115,60
111,48,61,68
69,66,55,78
128,126,37,55
59,116,62,47
65,50,98,58
46,46,58,67
69,42,72,42
68,67,53,63
58,90,81,120
104,100,99,68
85,52,53,116
78,134,50,124
66,45,77,56
81,51,46,76
86,47,52,135
70,72,63,51
87,106,74,120
61,97,59,65
138,65,79,47
106,71,77,45
70,80,60,125
76,43,73,64
150,110,49,44
65,65,55,116
65,34,92,123
58,77,51,70
98,55,38,75
49,116,41,76
91,52,78,68
56,62,48,91
78,75,70,40
114,64,63,40
58,139,52,77
131,87,48,54
70,55,45,49
58,90,65,40
108,65,45,83
83,54,40,96
86,67,61,51
45,71,75,72
55,45,88,62
51,59,121,93
135,58,70,50
65,39,105,114
45,58,83,72
110,65,52,77
71,123,61,56
91,72,72,58
105,50,129,66
39,96,45,87
78,104,61,61
59,69,124,50
82,73,85,40
109,71,65,85
73,53,63,75
51,119,68,52
76,51,131,71
47,41,96,135
90,107,46,46
103,73,61,51
53,44,86,53
67,51,88,57
74,42,60,61
67,106,91,56
50,82,68,145
55,101,56,84
79,57,45,63
59,83,60,48
80,64,129,69
117,88,52,90
126,48,54,46
49,114,76,73
54,44,102,117
58,102,61,114
70,44,56,60
82,84,66,56
61,55,68,66
115,88,38,69
86,62,47,63
55,100,60,170
57,54,87,55
43,67,52,73
73,49,59,67
67,74,69,73
76,52,61,55
61,39,52,129
83,41,99,66
52,78,66,107
55,67,114,78
48,61,39,82
89,110,52,60
76,91,67,44
69,70,71,54
102,49,99,82
62,118,43,66
62,77,56,52
75,57,85,49
59,108,54,65
84,66,61,45
64,83,173,103
58,57,78,72
68,69,57,126
88,61,112,42
64,50,161,62
78,112,120,50
52,112,60,120
167,54,40,63
51,108,66,85
41,144,78,61
57,57,49,104
85,61,72,105
69,66,49,65
114,46,65,65
88,45,55,153
79,54,77,65
113,44,61,43
108,64,82,61
51,59,69,187
61,56,60,56
51,35,87,41
116,56,144,50
126,65,51,75
71,68,75,59
51,95,114,45
55,40,190,71
42,42,121,98
96,62,42,120
50,107,51,67
48,110,157,55
96,42,49,72
136,75,59,54
69,86,57,53
185,97,64,78
58,44,63,70
155,46,40,77
46,80,51,100
112,49,90,75
48,65,65,68
113,44,61,52
46,67,90,118
50,65,94,68
64,60,61,75
79,71,54,43
61,77,44,58
57,57,72,73
124,38,55,67
70,53,63,56
40,94,57,73
73,49,69,50
114,40,98,66
143,70,64,60
48,79,57,61
65,60,130,113
75,52,88,85
86,78,49,56
83,67,45,103
49,68,66,48
100,89,71,82
77,72,80,110
79,63,66,46
97,40,68,53
56,67,69,121
59,55,73,58
59,85,40,120
69,108,70,54
78,91,64,72
79,46,66,57
40,150,54,99
51,72,199,59
50,40,56,117
130,68,45,102
51,139,59,59
50,74,58,128
54,111,44,75
74,51,30,89
82,59,73,58
65,38,64,57
110,67,68,75
79,47,46,64
35,137,101,112
67,51,65,62
56,66,61,116
70,56,61,59
82,66,48,60
49,45,102,60
52,59,35,87
143,62,86,103
59,78,80,57
68,99,74,46
66,62,46,151
109,55,91,61
70,75,79,48
125,83,96,54
115,52,58,69
150,46,45,134
56,89,41,37
57,58,110,79
58,52,53,67
