player_1_score,player_2_score,player_3_score,player_4_score
35,104,69,130
31,124,66,78
18,69,174,55
29,68,80,77
36,62,74,74
25,89,78,56
24,52,105,62
23,58,119,94
38,83,63,49
24,72,111,64
32,57,57,58
28,86,39,103
45,79,76,61
20,164,60,55
44,42,84,110
51,67,92,128
35,69,91,64
17,132,74,100
27,61,123,136
31,89,38,133
27,137,69,77
35,98,55,115
20,62,125,56
24,90,55,104
42,63,82,59
25,83,64,87
46,72,74,55
25,51,56,112
38,122,82,90
20,101,115,129
32,62,77,68
21,143,68,121
26,63,127,75
23,72,72,95
34,61,87,68
27,92,52,86
44,108,94,50
25,132,117,84
31,90,156,52
35,141,45,107
28,65,80,57
23,104,198,72
41,55,82,80
29,52,106,70
26,82,78,57
13,116,77,58
40,81,90,116
17,126,78,90
35,61,107,63
30,48,106,69
25,86,99,71
26,50,106,86
36,158,58,64
15,129,47,76
22,48,144,67
43,76,57,93
39,68,123,99
26,151,68,146
30,156,129,73
27,69,52,137
27,81,54,79
28,170,50,68
28,82,84,52
24,76,65,81
40,78,88,81
21,239,112,76
25,83,51,87
29,60,116,72
41,63,63,62
38,125,81,53
21,77,69,69
40,87,124,53
26,54,62,52
25,135,67,37
31,53,107,66
25,123,69,74
39,68,143,54
24,95,66,96
20,58,101,75
27,183,52,154
46,115,74,49
26,146,56,80
25,32,90,124
39,54,48,78
52,59,97,114
17,136,71,83
29,53,95,57
39,55,67,90
43,92,58,63
38,69,68,47
26,62,89,147
26,73,60,130
29,88,120,48
17,124,56,63
36,87,129,57
20,66,80,80
36,52,60,109
17,112,70,45
22,68,74,60
29,60,74,96
59,71,60,57
28,151,94,54
34,83,81,69
31,167,152,73
46,59,85,77
25,159,54,103
20,54,97,125
25,66,67,86
42,91,73,78
22,94,83,59
38,90,70,88
38,54,116,86
49,89,48,59
27,91,76,74
38,66,69,59
38,120,44,116
41,52,47,71
21,116,65,64
21,80,96,66
28,68,46,96
47,65,77,110
20,87,70,74
34,83,128,63
28,77,53,92
28,90,62,95
32,96,75,57
28,106,140,106
27,53,71,107
42,107,136,88
21,147,58,45
20,90,192,66
27,62,66,99
34,62,57,66
27,86,51,87
43,49,80,108
30,70,50,62
31,67,111,75
35,76,59,66
25,99,103,129
18,70,58,138
59,59,71,40
47,75,73,50
36,60,93,85
25,68,77,107
31,55,145,68
21,142,77,67
29,56,120,93
24,65,140,65
70,113,56,54
19,79,53,173
27,68,66,118
35,80,66,114
30,104,62,91
43,132,66,53
30,105,83,53
33,75,59,101
54,80,64,118
23,104,62,121
21,60,79,61
17,44,159,98
37,75,50,49
20,86,66,43
18,82,76,66
26,47,59,96
32,62,79,67
18,106,64,63
29,86,95,73
29,71,61,88
37,84,72,61
27,140,113,67
32,57,131,69
45,86,52,52
47,68,84,95
18,71,88,74
20,111,149,68
22,88,50,79
24,101,96,152
24,68,79,61
27,68,85,76
17,67,70,129
60,53,123,41
28,90,66,82
18,102,74,62
29,110,42,97
41,114,60,75
26,79,90,62
24,79,75,55
36,75,59,129
50,77,83,76
31,135,107,72
35,97,84,65
28,61,113,87
37,113,71,72
28,96,56,74
36,106,208,66
31,132,63,78
42,69,77,54
18,87,64,124
30,48,94,56
28,60,86,162
