game_number,player,start_pos,direction,word,score
0,player 1,"(7, 7)",across,idąą,26
0,player 1,"(0, 7)",down,piklowni,77
0,player 2,"(5, 7)",across,wiccę,10
0,player 3,"(1, 3)",across,żganim,12
0,player 4,"(2, 7)",across,ku,0
0,player 1,"(2, 11)",down,modę,7
0,player 2,"(1, 4)",down,gahitu,11
0,player 3,"(7, 8)",down,dojena,7
0,player 4,"(2, 4)",across,aa,1
0,player 1,"(12, 5)",across,emfaz,9
0,player 2,"(4, 0)",across,naośi,8
0,player 3,"(1, 0)",down,sypnij,9
0,player 4,"(3, 11)",across,on,1
0,player 1,"(10, 3)",across,rywale,9
0,player 2,"(8, 3)",down,barć,22
0,player 3,"(9, 0)",across,skra,4
0,player 4,"(6, 6)",across,in,1
0,player 1,"(2, 2)",down,ptoz,7
0,player 2,"(9, 1)",down,krewa,8
0,player 3,"(7, 5)",down,szkwle,6
0,player 4,"(12, 1)",across,we,2
0,player 1,"(1, 12)",down,buna,10
0,player 2,"(5, 4)",across,tó,5
0,player 3,"(9, 8)",across,jeńze,10
0,player 4,"(12, 6)",down,my,2
0,player 1,"(3, 10)",across,cong,5
0,player 2,"(8, 12)",down,hewei,7
0,player 4,"(8, 3)",across,biz,1
0,player 1,"(12, 12)",across,in,1
0,player 2,"(4, 6)",across,do,2
0,player 3,"(12, 13)",down,ny,4
1,player 1,"(7, 7)",across,fazo,16
1,player 1,"(7, 10)",down,orośe,13
1,player 2,"(11, 8)",across,grep,10
1,player 3,"(5, 8)",down,diaki,6
1,player 4,"(5, 8)",across,do,1
1,player 1,"(4, 9)",across,dnaą,8
1,player 2,"(0, 11)",down,wałęa,20
1,player 3,"(3, 5)",across,zacio,6
1,player 4,"(1, 11)",across,as,1
1,player 1,"(2, 6)",down,hanyi,7
1,player 2,"(1, 8)",across,bolas,6
1,player 3,"(9, 6)",across,upitoi,8
1,player 4,"(5, 5)",across,my,2
1,player 1,"(8, 6)",down,bulce,8
1,player 2,"(11, 3)",across,hajc,13
1,player 3,"(9, 6)",across,upitoisz,1
1,player 4,"(5, 4)",down,on,2
1,player 1,"(9, 4)",down,spawk,8
1,player 2,"(13, 0)",across,wirnk,8
1,player 3,"(4, 4)",down,cong,7
1,player 4,"(9, 3)",across,as,1
1,player 1,"(7, 13)",down,zóz,6
1,player 2,"(4, 2)",across,erc,2
1,player 3,"(6, 0)",across,niżan,8
1,player 4,"(7, 12)",across,uz,3
1,player 1,"(6, 0)",down,nać,21
1,player 2,"(0, 2)",down,wesee,5
1,player 3,"(1, 1)",across,kenes,10
1,player 4,"(0, 5)",down,as,1
1,player 1,"(3, 0)",across,złe,4
1,player 2,"(0, 9)",down,do,2
1,player 3,"(0, 5)",across,aj,3
1,player 4,"(6, 12)",down,mu,2
1,player 1,"(12, 0)",down,iw,1
2,player 1,"(7, 7)",across,głowo,18
2,player 1,"(6, 11)",down,solisz,8
2,player 2,"(10, 8)",across,causi,10
2,player 3,"(3, 8)",down,wylał,6
2,player 4,"(3, 7)",across,iw,1
2,player 1,"(6, 9)",down,joniah,8
2,player 2,"(3, 3)",across,stopiw,8
2,player 3,"(3, 3)",down,słówk,11
2,player 4,"(6, 3)",across,we,1
2,player 1,"(7, 0)",across,mamk,15
2,player 2,"(0, 5)",down,opromeni,59
2,player 3,"(0, 1)",across,negrow,7
2,player 4,"(0, 1)",down,ny,4
2,player 1,"(6, 0)",down,omązanym,61
2,player 2,"(13, 0)",across,merdz,10
2,player 3,"(9, 0)",across,zmięce,9
2,player 4,"(11, 0)",across,nać,7
2,player 1,"(12, 4)",across,udal,8
2,player 2,"(11, 6)",down,dań,9
2,player 3,"(9, 4)",down,chmuz,8
2,player 4,"(1, 7)",down,obi,4
2,player 1,"(7, 7)",down,gaż,6
2,player 2,"(1, 7)",across,oktan,6
2,player 3,"(0, 10)",down,fatiek,12
2,player 4,"(4, 10)",across,esej,5
2,player 1,"(1, 13)",down,czyj,10
2,player 2,"(4, 1)",across,ził,2
2,player 1,"(5, 5)",across,eś,5
2,player 1,"(8, 6)",across,aa,1
3,player 1,"(7, 7)",across,rębają,30
3,player 1,"(6, 10)",down,kaftn,11
3,player 2,"(9, 7)",across,zżutm,11
3,player 3,"(4, 12)",down,krząt,6
3,player 4,"(4, 10)",across,epk,4
3,player 1,"(9, 7)",down,zwied,5
3,player 2,"(12, 1)",across,blekoce,13
3,player 3,"(9, 3)",down,szwem,7
3,player 4,"(11, 7)",across,in,1
3,player 1,"(9, 11)",down,myrr,6
3,player 2,"(12, 9)",across,paróo,14
3,player 3,"(3, 8)",down,pigwę,7
3,player 4,"(9, 2)",across,as,1
3,player 1,"(3, 5)",across,osepe,4
3,player 2,"(10, 1)",down,soby,8
3,player 3,"(2, 9)",across,wlaza,7
3,player 4,"(1, 8)",across,we,1
3,player 1,"(9, 13)",down,idioć,20
3,player 2,"(1, 5)",down,anoniy,6
3,player 3,"(1, 3)",across,czai,4
3,player 4,"(4, 4)",across,in,2
3,player 1,"(6, 0)",down,ledoa,21
3,player 2,"(6, 14)",down,łajn,24
3,player 3,"(10, 5)",across,hiw,4
3,player 4,"(6, 4)",across,my,2
3,player 1,"(2, 13)",down,aj,3
3,player 2,"(6, 0)",across,lot,3
3,player 3,"(6, 4)",down,muś,8
3,player 4,"(12, 10)",down,as,1
3,player 1,"(8, 0)",across,da,1
4,player 1,"(7, 7)",across,obrzęde,72
4,player 1,"(7, 13)",down,eolitai,16
4,player 2,"(6, 7)",down,noks,4
4,player 3,"(9, 3)",across,radgski,9
4,player 4,"(6, 6)",across,in,1
4,player 1,"(11, 7)",across,stanget,15
4,player 2,"(7, 4)",down,właź,22
4,player 3,"(13, 7)",across,ceorowi,7
4,player 4,"(6, 10)",down,uz,3
4,player 1,"(5, 12)",down,pąd,7
4,player 2,"(3, 6)",down,hisi,5
4,player 3,"(4, 3)",across,fajiy,12
4,player 4,"(3, 3)",down,pf,6
4,player 1,"(7, 0)",across,dawcw,18
4,player 2,"(7, 0)",down,deizem,6
4,player 3,"(12, 0)",across,małż,12
4,player 4,"(9, 0)",across,iw,1
4,player 1,"(4, 1)",down,ośla,8
4,player 2,"(1, 1)",down,nieośla,6
4,player 3,"(5, 10)",down,muzy,4
4,player 4,"(1, 0)",across,in,1
4,player 1,"(10, 2)",down,tyłk,6
4,player 2,"(2, 1)",across,in,2
4,player 3,"(5, 8)",across,umm,5
4,player 4,"(10, 10)",down,on,2
4,player 1,"(2, 9)",down,szem,3
4,player 2,"(3, 9)",across,zań,22
4,player 3,"(2, 8)",across,as,1
4,player 4,"(2, 7)",across,ras,1
4,player 2,"(1, 11)",down,pań,3
4,player 3,"(2, 11)",across,aj,6
4,player 4,"(0, 7)",down,bór,24
5,player 1,"(7, 7)",across,osuwy,16
5,player 1,"(2, 10)",down,napływó,16
5,player 2,"(3, 7)",across,limac,11
5,player 3,"(2, 7)",down,bliż,9
5,player 4,"(4, 7)",across,in,1
5,player 1,"(7, 8)",down,sangh,8
5,player 2,"(11, 7)",across,chryj,14
5,player 3,"(9, 6)",across,pink,5
5,player 4,"(6, 9)",across,my,0
5,player 1,"(10, 10)",down,ny,2
5,player 2,"(10, 10)",across,nati,4
5,player 3,"(2, 4)",across,terb,4
5,player 4,"(5, 5)",across,gaż,4
5,player 1,"(9, 13)",down,witez,10
5,player 2,"(5, 14)",down,hasłe,27
5,player 3,"(5, 5)",down,gidi,4
5,player 4,"(13, 12)",across,uz,3
5,player 1,"(1, 5)",down,zeń,8
5,player 2,"(1, 13)",down,wojam,16
5,player 3,"(6, 2)",across,deri,4
5,player 4,"(4, 12)",across,aa,1
5,player 1,"(8, 1)",across,oścai,9
5,player 2,"(8, 3)",down,cezą,17
5,player 3,"(11, 2)",across,sądź,12
5,player 4,"(1, 12)",across,iw,0
5,player 1,"(3, 3)",down,lane,8
5,player 2,"(3, 0)",across,kwil,4
5,player 3,"(1, 11)",across,piw,2
5,player 4,"(3, 1)",down,we,1
5,player 1,"(4, 3)",across,as,2
5,player 2,"(0, 2)",down,zooi,4
5,player 3,"(8, 1)",down,oćm,8
5,player 4,"(1, 1)",across,rob,8
5,player 1,"(11, 4)",down,do,1
5,player 3,"(9, 6)",down,pf,5
5,player 4,"(11, 7)",down,czy,3
6,player 1,"(7, 7)",across,zsiekę,22
6,player 1,"(4, 8)",down,zeus,5
6,player 2,"(3, 10)",down,dymneu,12
6,player 3,"(4, 6)",across,rozryła,6
6,player 4,"(3, 12)",across,aj,4
6,player 1,"(7, 7)",down,zalewo,6
6,player 2,"(0, 13)",down,locj,10
6,player 3,"(10, 6)",across,hepać,18
6,player 4,"(12, 7)",across,on,1
6,player 1,"(8, 4)",across,raźa,11
6,player 2,"(2, 6)",down,wiró,7
6,player 3,"(1, 8)",across,siliło,6
6,player 4,"(2, 6)",across,we,1
6,player 1,"(8, 4)",down,rżąy,17
6,player 2,"(3, 3)",across,pani,8
6,player 3,"(1, 4)",down,stalic,10
6,player 4,"(0, 7)",across,da,9
6,player 1,"(11, 1)",across,fity,12
6,player 2,"(10, 2)",down,kiś,12
6,player 3,"(5, 0)",across,gangi,8
6,player 4,"(1, 9)",down,in,1
6,player 1,"(1, 1)",down,zbywa,14
6,player 2,"(2, 0)",across,ibo,3
6,player 3,"(7, 9)",down,iktah,7
6,player 4,"(5, 0)",down,gej,12
6,player 1,"(1, 3)",across,pss,3
6,player 2,"(7, 0)",across,jeńa,9
6,player 3,"(0, 11)",down,mim,4
6,player 4,"(6, 12)",down,ręc,3
6,player 1,"(7, 1)",down,ewe,2
6,player 3,"(7, 5)",down,da,2
6,player 1,"(12, 8)",down,ny,2
7,player 1,"(7, 7)",across,nonoa,10
7,player 1,"(3, 11)",down,legoań,18
7,player 2,"(4, 7)",down,irenisę,10
7,player 3,"(4, 3)",across,ubariła,15
7,player 4,"(9, 6)",across,as,1
7,player 1,"(1, 4)",down,bódbyś,17
7,player 2,"(2, 0)",across,wsypó,8
7,player 3,"(1, 11)",down,delegoań,1
7,player 4,"(1, 11)",across,da,1
7,player 1,"(0, 1)",down,zeskuany,66
7,player 2,"(1, 7)",across,chordai,16
7,player 3,"(0, 13)",down,witam,6
7,player 4,"(0, 0)",across,uz,9
7,player 1,"(7, 0)",across,tyłk,21
7,player 2,"(4, 9)",down,agencj,9
7,player 3,"(9, 5)",across,ras,1
7,player 4,"(4, 0)",across,ku,2
7,player 1,"(7, 3)",down,kozine,7
7,player 2,"(10, 0)",across,pilić,17
7,player 3,"(12, 1)",across,miewją,13
7,player 4,"(5, 1)",across,as,1
7,player 1,"(11, 6)",down,pąd,4
7,player 2,"(3, 10)",across,alfa,6
7,player 3,"(5, 9)",across,geg,1
7,player 4,"(13, 0)",across,mh,10
7,player 1,"(0, 8)",down,cha,3
7,player 4,"(13, 6)",across,do,1
7,player 1,"(6, 6)",across,we,1
