game_number,player,start_pos,direction,word,score
0,player 1,"(7, 8)",across,biz,5
0,player 1,"(4, 8)",down,nieba,4
0,player 2,"(0, 7)",down,szóśi,24
0,player 3,"(0, 6)",across,usmoli,9
0,player 4,"(8, 7)",across,ban,4
0,player 1,"(5, 8)",across,in,1
0,player 2,"(2, 3)",across,krańów,12
0,player 3,"(1, 3)",down,oklejc,13
0,player 4,"(1, 2)",across,do,2
0,player 1,"(4, 2)",across,eee,3
0,player 2,"(1, 11)",across,wan,6
0,player 3,"(5, 11)",down,trącoy,13
0,player 4,"(1, 5)",down,hak,5
0,player 1,"(1, 1)",across,odo,2
0,player 2,"(8, 7)",down,baźe,11
0,player 3,"(6, 1)",across,pacyka,8
0,player 4,"(6, 1)",down,pf,5
0,player 1,"(5, 11)",across,tup,5
0,player 2,"(11, 1)",across,martwceż,63
0,player 3,"(3, 13)",down,sępiły,12
0,player 4,"(11, 1)",down,mh,3
0,player 1,"(3, 12)",across,as,1
0,player 2,"(9, 2)",across,powgia,8
0,player 3,"(0, 1)",down,łoje,7
0,player 4,"(10, 10)",across,my,4
0,player 1,"(2, 0)",across,aj,1
0,player 2,"(8, 4)",down,twit,4
0,player 3,"(10, 10)",down,mego,5
0,player 4,"(8, 11)",across,cny,1
0,player 1,"(3, 11)",across,ras,3
0,player 2,"(3, 10)",across,sras,1
0,player 4,"(6, 6)",down,as,1
0,player 1,"(10, 9)",across,zmyd,3
0,player 3,"(5, 6)",down,ras,1
0,player 4,"(11, 6)",down,czy,3
0,player 1,"(13, 9)",across,do,2
0,player 1,"(0, 13)",down,in,1
1,player 1,"(7, 7)",across,szpenom,66
1,player 1,"(6, 12)",down,noyów,9
1,player 2,"(6, 9)",down,opajj,8
1,player 3,"(9, 8)",across,aj,1
1,player 4,"(6, 11)",across,on,1
1,player 1,"(6, 2)",across,wisioa,6
1,player 2,"(4, 2)",down,powiś,9
1,player 3,"(5, 5)",down,bifo,9
1,player 4,"(4, 2)",across,puh,9
1,player 1,"(1, 3)",down,dąsu,10
1,player 2,"(1, 1)",across,padwny,14
