player_1_score,player_2_score,player_3_score,player_4_score
151,73,52,8
92,66,49,13
140,104,53,22
101,79,43,12
145,70,56,39
80,97,53,21
94,61,61,31
148,66,37,25
105,47,44,14
116,83,41,9
114,60,57,16
86,86,56,21
86,78,52,37
83,88,49,10
146,108,50,22
102,66,49,16
83,67,100,24
115,67,50,9
142,82,47,15
80,48,111,18
103,84,44,13
103,148,44,14
112,67,44,17
92,117,50,23
169,65,44,21
85,73,56,23
125,56,47,28
131,129,116,16
97,93,51,20
79,79,43,19
76,82,35,14
141,56,61,18
187,127,40,13
100,78,48,6
106,68,38,20
163,69,36,12
97,87,44,23
96,67,32,15
79,67,56,35
154,186,55,11
95,91,40,13
157,59,53,15
127,72,50,26
83,113,36,17
101,63,58,17
99,76,48,19
68,80,75,20
96,125,30,18
77,92,48,19
92,82,62,21
82,70,57,13
86,110,57,12
100,79,88,13
75,78,53,26
190,72,44,13
80,84,56,11
120,118,38,21
68,68,40,21
64,67,62,18
67,88,56,13
116,97,40,13
116,83,39,18
148,114,41,17
113,111,48,19
100,78,109,13
80,57,51,17
88,62,50,15
102,66,105,13
85,81,66,17
71,72,47,16
87,61,44,14
145,61,100,13
88,70,39,22
82,76,62,26
82,72,40,21
88,83,66,15
79,81,78,12
93,109,86,25
88,119,61,11
107,50,56,16
162,66,39,18
92,115,31,15
69,106,106,24
83,102,43,14
104,67,47,21
99,70,55,15
102,54,57,16
106,75,42,11
86,98,39,13
88,64,69,16
69,93,45,12
117,89,43,11
65,143,49,16
70,112,54,8
84,58,49,14
160,85,112,13
135,91,33,16
60,109,42,25
77,100,79,23
80,72,51,25
91,102,35,10
89,106,57,17
98,85,49,10
102,65,53,14
111,182,33,20
103,131,65,16
102,64,55,10
78,81,53,22
181,45,45,12
96,104,96,18
102,70,32,10
116,62,52,11
115,66,43,29
98,72,57,9
108,70,29,20
105,47,97,22
143,45,51,18
62,55,46,28
96,116,39,12
195,65,45,19
85,99,42,22
100,62,36,28
112,122,51,17
107,70,43,27
130,55,65,11
109,132,30,22
119,121,42,12
162,73,65,23
99,65,71,14
103,76,57,17
141,63,43,16
100,63,49,14
74,83,33,18
91,75,53,19
119,82,32,18
88,105,44,10
79,60,50,10
170,91,49,16
79,86,61,15
76,112,38,20
83,80,46,15
79,90,45,20
96,76,37,16
152,67,62,16
70,43,59,12
66,98,81,16
157,63,50,17
88,94,52,21
103,69,56,16
98,87,44,15
81,61,101,12
61,104,49,13
138,148,44,27
102,59,41,27
100,63,53,11
73,76,53,14
104,98,46,15
87,128,53,24
128,125,103,19
72,83,46,17
84,70,44,19
208,42,46,9
77,74,56,8
119,69,60,9
114,84,57,14
128,73,50,22
85,100,37,18
83,71,59,19
80,143,42,17
69,69,77,25
103,75,50,15
156,60,52,13
60,97,75,14
97,122,50,15
121,125,84,19
90,59,48,26
102,81,52,12
57,108,50,18
142,68,46,14
87,88,46,9
102,130,100,10
91,75,26,23
64,109,37,11
125,51,38,17
194,66,61,13
90,81,48,10
90,106,43,15
81,66,61,28
102,69,46,11
104,79,49,16
78,129,37,9
116,60,83,17
91,73,41,23
149,76,43,18
87,136,53,24
91,64,60,31
74,63,35,12
124,74,55,13
91,80,47,11
74,117,77,15
