player_1_score,player_2_score,player_3_score,player_4_score
29,76,74,36
54,78,51,26
29,83,94,17
24,75,65,28
45,148,38,20
39,65,68,25
45,106,35,25
34,130,70,22
24,70,60,19
45,154,43,24
41,75,58,25
48,68,107,45
24,80,102,30
35,89,58,18
28,73,48,23
26,100,48,30
23,64,54,24
36,102,83,13
37,116,64,25
37,57,118,21
47,60,84,14
27,80,61,27
35,137,71,31
37,53,144,20
59,142,57,18
47,94,31,37
58,68,183,13
33,73,63,20
44,57,59,27
29,69,54,30
35,109,59,13
32,56,81,31
37,91,104,28
37,77,103,28
31,110,58,25
38,89,52,19
41,57,48,31
31,123,92,23
43,96,79,13
30,103,73,27
32,92,95,47
37,97,46,28
38,72,50,34
47,68,66,17
27,124,112,16
38,64,115,23
44,52,56,16
48,148,34,44
37,91,47,31
50,79,60,26
21,97,55,29
27,64,64,22
45,82,53,24
39,91,63,18
37,65,57,36
47,124,83,17
21,64,65,15
42,79,53,23
34,74,59,29
40,74,121,22
38,65,74,14
33,70,54,19
37,102,63,22
57,63,43,24
28,68,69,24
21,81,65,33
44,118,58,11
34,104,60,18
41,105,59,28
35,73,59,17
30,66,62,31
35,82,44,36
43,87,71,28
35,81,56,41
29,70,61,32
25,137,69,25
39,89,60,13
47,84,41,28
37,79,53,12
44,166,47,28
39,60,59,17
35,67,67,28
29,66,50,28
34,80,57,16
35,72,83,31
40,115,58,17
37,62,69,23
36,70,51,37
45,69,64,24
39,199,59,27
28,71,73,28
17,65,78,17
59,84,55,21
45,70,66,40
55,80,49,15
60,71,51,23
35,77,40,37
42,83,84,13
45,65,61,20
36,70,49,23
33,112,127,38
37,50,72,35
48,71,78,30
17,78,67,23
35,95,54,24
34,164,75,48
39,80,72,21
28,71,117,14
31,99,53,15
49,72,55,29
40,129,67,19
46,77,66,13
42,57,55,26
36,106,103,24
28,87,65,23
47,62,60,28
40,100,122,20
42,116,56,21
39,84,54,28
44,134,51,19
24,156,119,44
29,67,108,37
58,87,59,21
46,147,66,17
36,70,46,26
34,75,75,26
53,97,53,33
32,82,72,27
30,73,59,41
23,137,49,30
37,72,116,13
43,40,84,23
38,122,50,21
45,55,118,25
33,67,59,26
38,51,110,28
39,99,43,21
31,68,69,20
34,88,134,19
37,64,73,22
46,67,62,15
36,114,55,32
39,95,60,22
48,79,57,43
25,232,71,36
46,85,56,29
36,60,57,28
33,90,63,19
23,128,60,20
39,76,57,31
28,121,89,20
45,80,62,22
33,86,66,21
28,83,46,13
44,74,44,35
38,58,63,34
29,101,71,14
56,88,56,13
32,172,68,14
44,107,140,26
42,81,126,26
45,128,72,17
35,66,45,29
48,71,72,20
27,95,44,42
42,69,46,31
43,82,49,30
23,81,128,31
26,91,83,25
38,76,51,27
32,82,73,31
31,69,55,18
30,54,49,33
35,97,38,37
41,63,92,18
20,93,106,23
46,86,79,15
42,53,121,15
32,55,73,31
27,91,132,16
56,94,42,19
37,52,138,25
40,63,51,26
30,100,42,30
31,100,68,49
43,36,52,19
40,70,53,16
38,72,53,28
35,91,52,26
33,89,53,25
35,127,94,25
33,115,43,11
42,59,57,39
52,92,95,26
28,171,81,25
30,70,56,35
30,184,72,29
28,51,59,28
38,75,82,18
47,108,104,19
