player_1_score,player_2_score,player_3_score,player_4_score
68,92,65,87
45,64,46,94
65,40,129,56
111,50,62,84
121,36,56,110
52,132,75,102
59,25,86,83
48,55,99,88
113,41,60,46
53,69,151,131
64,93,89,118
81,63,87,75
78,88,44,48
61,74,137,47
65,41,76,52
115,63,92,180
166,50,58,54
51,67,72,100
56,30,93,102
73,46,82,64
94,60,65,68
43,68,57,54
80,85,69,42
63,125,56,70
86,56,62,53
50,53,54,67
63,97,124,82
117,39,50,88
61,63,70,51
51,82,43,48
58,54,76,192
64,69,49,49
71,54,100,103
49,83,55,70
50,108,65,124
69,64,51,87
87,50,71,51
53,55,61,115
52,65,179,59
115,65,40,81
87,62,57,97
151,86,44,57
71,33,72,80
64,28,94,71
129,28,119,44
47,77,47,65
113,51,83,57
55,75,66,64
102,58,37,38
58,74,63,67
114,47,68,77
109,67,52,96
82,91,83,51
35,87,62,81
130,42,91,51
53,43,56,71
79,80,51,49
51,107,73,50
57,52,90,52
83,50,49,57
66,72,67,97
57,82,69,56
60,52,81,50
68,98,57,117
51,101,60,65
56,82,48,80
68,59,87,50
75,54,61,178
121,53,65,94
41,123,111,59
51,61,75,61
54,56,73,61
79,58,39,78
48,73,80,44
47,58,106,48
50,108,31,82
86,62,60,82
40,76,55,42
73,49,66,103
40,41,49,85
135,47,65,67
61,63,51,69
91,56,65,51
75,49,76,83
97,49,56,39
83,70,62,55
79,68,99,56
66,68,72,65
65,99,54,89
42,137,70,61
37,107,71,70
56,113,108,88
124,70,56,56
74,70,113,65
52,54,80,60
56,50,142,74
92,32,63,73
62,69,89,70
68,51,76,68
51,126,68,89
73,49,57,58
68,79,69,37
118,62,64,101
39,40,67,73
69,36,53,122
38,68,120,71
41,65,67,71
47,66,52,64
96,50,46,70
52,74,153,67
64,34,75,58
66,91,62,68
114,51,60,47
54,89,70,71
60,33,59,70
74,147,50,82
133,52,57,51
58,65,56,192
54,64,134,57
57,48,21,88
126,51,104,46
104,97,56,50
65,45,87,73
70,44,39,105
83,56,67,50
167,68,53,56
50,50,67,54
69,67,87,88
86,97,86,50
106,148,71,61
52,47,82,109
78,58,23,64
73,100,50,60
48,75,63,41
59,57,61,64
55,69,54,89
107,49,53,106
33,75,101,55
32,47,80,131
51,46,52,83
78,59,60,88
76,114,54,67
65,51,80,37
68,58,45,67
71,100,64,49
66,75,60,57
45,39,92,73
83,163,129,55
69,107,60,54
63,136,75,49
98,53,127,99
52,52,78,54
145,58,59,44
42,98,118,53
36,42,84,55
44,57,48,90
65,43,73,46
61,66,54,96
49,55,94,74
49,46,49,85
135,46,86,72
55,64,200,63
69,61,72,66
51,67,53,74
124,48,52,65
64,84,52,50
46,71,87,44
59,96,130,75
88,66,57,67
69,94,65,53
63,53,82,43
41,51,78,75
94,49,105,68
64,114,43,55
56,44,190,64
106,98,48,64
85,51,62,49
49,75,57,76
31,52,95,92
119,50,51,75
75,48,43,59
39,98,88,85
68,70,90,42
48,70,51,78
60,46,68,106
82,59,43,46
68,52,72,69
50,104,37,102
135,62,38,48
50,170,67,84
64,39,74,117
41,48,50,74
65,51,60,56
59,88,66,72
58,74,84,44
43,97,62,83
76,52,77,44
53,74,50,79
51,43,103,65
92,54,174,91
91,50,61,50
58,60,75,76
95,57,76,80
70,31,59,66
113,48,59,136
58,72,58,76
37,69,76,60
59,43,49,166
65,80,61,44
63,59,66,60
57,48,85,49
82,44,67,81
71,110,74,48
45,58,61,62
64,38,105,61
59,52,50,125
141,62,47,85
106,77,56,79
49,62,92,69
54,56,61,52
114,53,63,62
44,82,68,56
55,108,123,51
64,48,55,85
127,44,30,33
56,47,64,69
54,94,95,55
68,45,73,76
97,68,54,49
60,49,71,59
72,51,74,124
47,45,82,86
75,65,54,47
76,64,58,56
115,48,141,46
65,49,45,84
83,98,56,47
62,69,80,71
53,39,52,72
53,107,43,142
62,126,75,49
46,105,93,53
108,76,82,78
54,56,51,72
61,107,65,56
63,69,56,46
52,52,98,84
59,47,52,76
75,54,46,98
45,73,49,108
61,92,101,58
54,61,165,82
130,53,39,46
45,125,76,68
80,60,71,54
76,44,73,103
69,54,53,63
44,70,63,48
65,60,86,35
117,61,114,65
70,75,75,55
