game_number,player,start_pos,direction,word,score
0,player 1,"(4, 8)",down,żadn,4
0,player 1,"(7, 9)",down,yer,4
0,player 2,"(7, 3)",across,westeny,12
0,player 3,"(10, 8)",across,tyj,10
0,player 4,"(5, 5)",across,schabó,14
0,player 1,"(10, 8)",down,tild,5
0,player 2,"(7, 3)",down,wepnj,13
0,player 3,"(10, 2)",across,śnć,17
0,player 4,"(12, 5)",across,dioleina,59
0,player 1,"(12, 11)",down,ny,2
0,player 2,"(8, 0)",across,łgne,7
0,player 3,"(7, 0)",down,iła,6
0,player 4,"(13, 1)",across,kaowa,12
0,player 1,"(11, 1)",down,żuk,8
0,player 2,"(9, 6)",down,zeki,4
0,player 3,"(1, 6)",down,gibic,8
0,player 4,"(1, 4)",across,tęgi,8
0,player 1,"(9, 12)",down,sera,3
0,player 2,"(1, 4)",down,tomc,7
0,player 3,"(3, 0)",across,zaznm,6
0,player 4,"(1, 1)",down,okala,12
0,player 1,"(6, 4)",down,we,1
0,player 2,"(9, 9)",across,rausu,7
0,player 3,"(6, 11)",down,mocu,5
0,player 4,"(0, 7)",down,piw,9
0,player 1,"(5, 0)",across,pań,9
0,player 2,"(5, 12)",down,mh,5
0,player 3,"(0, 7)",across,prr,2
0,player 4,"(3, 12)",down,yamh,3
0,player 2,"(4, 12)",across,as,1
0,player 2,"(1, 0)",across,woź,9
0,player 3,"(0, 0)",down,iw,3
1,player 1,"(4, 8)",down,nelm,6
1,player 1,"(1, 9)",down,lezy,6
1,player 2,"(4, 4)",across,gnilny,10
1,player 3,"(7, 2)",across,kwitkem,18
1,player 4,"(1, 9)",across,liryk,12
1,player 1,"(7, 6)",down,kahał,8
1,player 2,"(7, 3)",down,wzioń,24
1,player 3,"(3, 9)",across,zwóza,17
1,player 4,"(10, 0)",across,dynod,9
1,player 1,"(10, 0)",down,dom,3
1,player 2,"(0, 7)",down,manol,15
1,player 3,"(9, 6)",across,hafcarze,57
1,player 4,"(6, 0)",down,crepdom,18
1,player 1,"(9, 13)",down,etk,4
1,player 2,"(8, 10)",down,łajzw,11
1,player 3,"(12, 10)",across,woź,19
1,player 4,"(2, 3)",across,areanie,5
1,player 1,"(12, 11)",down,on,1
1,player 2,"(3, 1)",across,fus,11
1,player 3,"(6, 8)",across,liż,6
1,player 4,"(11, 5)",across,głoś,9
1,player 1,"(7, 13)",down,dietk,3
1,player 2,"(4, 14)",down,pupo,24
1,player 3,"(0, 6)",across,tmz,3
1,player 4,"(9, 7)",down,asow,2
1,player 2,"(12, 0)",across,my,2
1,player 2,"(1, 13)",down,kia,1
2,player 1,"(4, 8)",down,zmyd,7
2,player 1,"(4, 8)",down,zmydana,3
2,player 2,"(7, 7)",across,adżie,16
2,player 3,"(10, 4)",across,wywraały,65
2,player 4,"(9, 11)",down,tymf,13
2,player 1,"(10, 7)",down,rzep,4
2,player 2,"(14, 6)",across,roiła,21
2,player 3,"(3, 11)",down,jaśle,15
2,player 4,"(4, 10)",across,gańd,15
2,player 1,"(10, 4)",down,wieź,11
2,player 2,"(1, 13)",down,trads,10
2,player 3,"(12, 1)",across,skeet,8
2,player 4,"(0, 7)",down,kaemu,27
2,player 1,"(10, 9)",down,as,1
2,player 2,"(8, 1)",down,splisu,18
2,player 3,"(1, 4)",across,bąkaną,16
2,player 4,"(0, 4)",down,obozó,13
2,player 1,"(7, 5)",down,zocy,4
2,player 2,"(3, 2)",across,lez,5
2,player 3,"(2, 2)",down,blonę,12
2,player 4,"(9, 0)",across,opić,8
2,player 1,"(7, 10)",down,iw,1
2,player 2,"(3, 0)",across,naleze,3
2,player 3,"(5, 0)",across,chn,5
2,player 4,"(3, 0)",down,nocj,4
2,player 1,"(12, 11)",across,fil,4
2,player 3,"(5, 8)",across,mh,3
2,player 4,"(0, 3)",across,do,2
2,player 1,"(4, 6)",across,guz,3
2,player 3,"(8, 5)",across,on,1
2,player 4,"(12, 12)",down,iw,1
3,player 1,"(5, 8)",down,wok,4
3,player 1,"(3, 8)",down,mawoka,4
3,player 2,"(7, 4)",across,lidekę,22
3,player 3,"(3, 5)",across,pozmywną,60
3,player 4,"(5, 3)",across,seteów,10
3,player 1,"(7, 6)",down,dirc,4
3,player 2,"(0, 7)",down,uwoz,15
3,player 3,"(7, 4)",down,lińcy,14
3,player 4,"(0, 5)",across,flugw,11
3,player 1,"(3, 10)",down,weng,6
3,player 2,"(11, 2)",across,spyż,12
3,player 3,"(4, 0)",across,śnła,10
3,player 4,"(2, 2)",down,ćkł,14
3,player 1,"(11, 5)",down,żut,2
3,player 2,"(10, 6)",across,charmi,10
3,player 3,"(13, 1)",across,baszto,14
3,player 4,"(9, 11)",down,piąc,19
3,player 1,"(11, 2)",down,sra,2
3,player 2,"(4, 0)",down,ślij,18
3,player 3,"(14, 6)",across,nudai,24
3,player 4,"(12, 9)",across,mache,10
3,player 1,"(10, 13)",down,złe,4
3,player 2,"(1, 12)",down,zią,3
3,player 3,"(9, 1)",across,dzyń,5
3,player 4,"(2, 12)",across,in,1
3,player 1,"(10, 8)",down,aa,1
3,player 2,"(5, 10)",across,ny,2
3,player 3,"(3, 5)",down,pot,1
3,player 1,"(10, 7)",down,hak,3
3,player 2,"(0, 9)",down,we,1
3,player 3,"(0, 9)",down,wety,2
3,player 2,"(9, 1)",down,do,1
4,player 1,"(5, 8)",down,ził,5
4,player 1,"(6, 5)",across,hopi,6
4,player 2,"(5, 6)",down,boję,11
4,player 4,"(5, 8)",across,zwiani,5
4,player 1,"(5, 13)",down,iw,1
4,player 2,"(3, 10)",down,tlij,9
4,player 3,"(3, 9)",across,ató,16
4,player 4,"(8, 3)",across,bufę,11
4,player 1,"(8, 5)",down,fier,3
4,player 2,"(8, 3)",down,byczym,11
4,player 3,"(11, 5)",across,rozskac,12
4,player 4,"(13, 0)",across,trumsu,20
4,player 1,"(11, 10)",down,aa,1
4,player 2,"(14, 5)",across,zeń,24
4,player 3,"(10, 2)",across,oche,7
4,player 4,"(5, 12)",down,niećmy,10
4,player 1,"(11, 8)",down,sra,2
4,player 2,"(9, 8)",across,mopom,6
4,player 3,"(0, 9)",down,sila,4
4,player 4,"(0, 7)",across,leser,15
4,player 1,"(11, 6)",down,on,1
4,player 2,"(0, 7)",down,lanc,4
4,player 3,"(1, 4)",across,wąsa,7
4,player 4,"(1, 4)",down,wież,12
4,player 1,"(8, 9)",down,do,2
4,player 2,"(3, 3)",across,geg,12
4,player 3,"(11, 0)",down,edt,3
4,player 4,"(12, 2)",across,my,4
4,player 1,"(7, 4)",down,ku,2
4,player 2,"(11, 0)",across,eś,5
4,player 3,"(0, 5)",down,tą,2
4,player 4,"(13, 8)",across,aa,1
4,player 2,"(0, 7)",across,leserk,2
4,player 3,"(14, 9)",across,any,4
4,player 2,"(4, 13)",down,piw,2
4,player 2,"(7, 11)",across,we,1
5,player 1,"(4, 8)",down,koje,7
5,player 1,"(7, 7)",down,woza,8
5,player 2,"(10, 4)",across,hula,11
5,player 3,"(2, 6)",down,galowe,9
5,player 4,"(5, 5)",across,bodotm,9
5,player 1,"(10, 5)",down,ubar,5
5,player 2,"(2, 5)",across,agawę,8
5,player 3,"(12, 0)",across,rzeźna,14
5,player 4,"(0, 7)",down,cha,15
5,player 1,"(9, 2)",down,ryże,8
5,player 2,"(3, 10)",down,pomosu,9
5,player 3,"(0, 1)",across,czadzice,56
5,player 4,"(3, 10)",across,pyli,9
5,player 1,"(10, 0)",down,yer,3
5,player 2,"(0, 1)",down,cezą,14
5,player 3,"(1, 13)",down,ćmik,20
5,player 4,"(0, 3)",down,adatm,11
5,player 1,"(2, 11)",down,ny,1
5,player 2,"(4, 2)",across,amf,11
5,player 3,"(8, 0)",across,kiś,8
5,player 4,"(4, 0)",down,niańk,30
5,player 1,"(4, 2)",down,as,1
5,player 2,"(2, 0)",across,szła,7
5,player 3,"(9, 7)",across,ził,4
5,player 4,"(7, 10)",across,swyi,4
5,player 1,"(6, 0)",across,aj,3
5,player 2,"(6, 13)",down,nico,4
5,player 3,"(0, 5)",down,znad,3
6,player 1,"(5, 8)",down,yor,4
6,player 1,"(1, 7)",down,zaufm,11
6,player 2,"(7, 6)",across,szram,10
6,player 3,"(6, 10)",down,imprezoa,59
6,player 4,"(13, 7)",across,sąsadko,24
6,player 1,"(10, 13)",down,neko,4
6,player 2,"(1, 11)",down,gaciow,13
6,player 3,"(1, 5)",across,lizać,10
6,player 4,"(5, 14)",down,ageizy,24
6,player 1,"(10, 8)",down,mapą,5
6,player 2,"(1, 4)",down,wizuj,12
6,player 3,"(3, 1)",across,tałzn,13
6,player 4,"(0, 2)",down,libacyne,65
6,player 1,"(7, 6)",down,son,2
6,player 2,"(2, 10)",across,pań,16
6,player 3,"(7, 0)",across,noeze,12
6,player 4,"(8, 10)",across,paź,10
6,player 1,"(9, 5)",down,iw,2
6,player 2,"(0, 0)",across,beló,27
6,player 3,"(7, 1)",down,odętk,11
6,player 4,"(11, 1)",across,kiś,16
6,player 1,"(11, 2)",down,ird,4
6,player 2,"(13, 0)",across,wżd,12
6,player 4,"(5, 6)",across,smyc,3
6,player 1,"(10, 3)",down,eś,1
6,player 4,"(2, 7)",across,aa,1
7,player 1,"(6, 8)",down,as,2
7,player 1,"(5, 9)",down,aa,2
7,player 2,"(6, 5)",across,bziaa,5
7,player 3,"(3, 7)",down,hopi,6
7,player 4,"(3, 7)",across,hiena,6
7,player 1,"(6, 6)",down,zezai,4
7,player 2,"(4, 3)",across,wełno,7
7,player 3,"(0, 4)",down,liźie,13
7,player 4,"(0, 2)",across,doleją,36
7,player 1,"(4, 3)",down,wwa,2
7,player 2,"(10, 2)",across,kryli,9
7,player 3,"(2, 11)",down,tańce,12
7,player 4,"(8, 1)",down,usarsc,16
7,player 1,"(10, 5)",down,liż,6
7,player 2,"(5, 0)",down,orem,15
7,player 3,"(8, 0)",across,mung,4
7,player 4,"(9, 6)",across,aj,3
7,player 1,"(10, 5)",down,liżm,2
7,player 2,"(12, 4)",across,ożyć,9
7,player 4,"(6, 11)",across,emc,4
7,player 1,"(8, 3)",down,gurd,9
7,player 2,"(0, 13)",down,dekarsc,16
7,player 3,"(0, 9)",down,hyze,6
7,player 4,"(4, 0)",down,gorem,3
7,player 1,"(6, 12)",down,my,2
7,player 2,"(12, 0)",across,wsó,11
7,player 3,"(1, 0)",across,bio,8
7,player 4,"(0, 2)",down,donn,3
7,player 1,"(7, 2)",down,on,1
7,player 2,"(1, 8)",across,łyp,5
7,player 4,"(1, 12)",across,we,1
7,player 1,"(5, 2)",across,iw,1
7,player 1,"(3, 1)",across,in,1
8,player 1,"(5, 8)",down,żga,4
8,player 1,"(7, 8)",across,abba,7
8,player 2,"(6, 11)",down,jasioy,12
8,player 3,"(10, 6)",across,uduszoy,13
8,player 4,"(9, 6)",down,duć,8
8,player 1,"(10, 8)",down,usnę,7
8,player 2,"(5, 5)",across,małżow,8
8,player 3,"(4, 6)",down,pań,9
8,player 4,"(11, 2)",across,omieć,9
8,player 1,"(8, 4)",down,skai,5
8,player 2,"(13, 7)",across,tężena,10
8,player 3,"(8, 2)",down,andoyt,10
8,player 4,"(13, 0)",across,lott,10
8,player 1,"(7, 9)",down,bims,3
8,player 2,"(5, 1)",down,zyfa,9
8,player 3,"(4, 10)",across,ilac,7
8,player 4,"(1, 13)",down,cewce,10
8,player 1,"(12, 10)",down,we,0
8,player 2,"(5, 14)",down,świni,27
8,player 3,"(2, 8)",across,eworje,10
8,player 4,"(7, 0)",across,pf,6
8,player 1,"(5, 14)",down,świnią,5
8,player 2,"(0, 9)",down,hiw,4
8,player 3,"(11, 5)",down,erc,3
8,player 4,"(6, 1)",across,yor,2
8,player 1,"(8, 7)",down,pad,3
8,player 4,"(9, 11)",across,in,1
9,player 1,"(2, 8)",down,wsncia,7
9,player 1,"(7, 9)",down,sra,2
9,player 2,"(7, 7)",down,rebowe,16
9,player 3,"(3, 5)",across,wersowe,8
9,player 4,"(11, 7)",across,wonah,11
9,player 1,"(11, 10)",down,aj,3
9,player 2,"(1, 10)",down,zewó,12
9,player 3,"(1, 10)",across,zdaj,12
9,player 4,"(2, 2)",across,hepi,10
9,player 1,"(10, 11)",down,mh,2
9,player 2,"(0, 12)",down,nać,13
9,player 3,"(1, 3)",down,bekarą,16
9,player 4,"(4, 1)",across,zgaś,14
9,player 1,"(4, 1)",down,ził,4
9,player 2,"(8, 3)",across,życie,10
9,player 3,"(12, 2)",across,syzgie,9
9,player 4,"(0, 14)",down,imakm,24
9,player 1,"(9, 2)",down,fils,8
9,player 2,"(10, 1)",across,cisty,9
9,player 3,"(8, 9)",across,rudę,10
9,player 4,"(5, 5)",down,spocoy,5
9,player 1,"(5, 12)",down,łudę,8
9,player 2,"(6, 10)",across,piuk,5
9,player 3,"(5, 5)",across,snac,2
9,player 4,"(9, 7)",across,blaz,3
9,player 2,"(0, 5)",down,leiw,3
9,player 3,"(10, 11)",across,my,2
9,player 4,"(12, 6)",down,in,1
10,player 1,"(4, 8)",down,sire,4
10,player 1,"(7, 7)",down,wrotai,14
10,player 2,"(4, 8)",across,spyloa,10
10,player 3,"(7, 0)",across,nieławkwe,71
10,player 4,"(7, 5)",down,wieź,11
10,player 1,"(7, 3)",down,łyp,4
10,player 2,"(11, 7)",across,aliaż,19
10,player 3,"(3, 12)",down,dośpę,9
10,player 4,"(9, 10)",down,chałk,13
10,player 1,"(7, 1)",down,iw,1
10,player 2,"(5, 5)",across,sańi,9
10,player 3,"(3, 0)",down,obezn,6
10,player 4,"(13, 10)",across,kyaa,8
10,player 1,"(9, 13)",down,dreda,6
10,player 2,"(7, 10)",across,kręć,9
10,player 3,"(0, 6)",down,wzgóza,11
10,player 4,"(0, 2)",across,menowi,18
10,player 1,"(7, 3)",down,łypic,7
10,player 2,"(1, 0)",across,czy,10
10,player 3,"(3, 3)",across,galó,12
10,player 4,"(11, 0)",across,znęce,8
10,player 1,"(11, 1)",down,nam,6
10,player 2,"(1, 10)",down,fity,8
10,player 3,"(3, 4)",down,aj,6
10,player 4,"(2, 10)",across,in,1
10,player 1,"(10, 0)",down,uz,3
10,player 2,"(9, 7)",across,osąc,6
10,player 3,"(13, 1)",across,mh,3
10,player 1,"(12, 5)",across,obi,4
10,player 3,"(8, 9)",down,tą,2
10,player 3,"(3, 0)",across,on,1
11,player 1,"(3, 8)",down,pajeo,8
11,player 1,"(7, 8)",across,ozea,3
11,player 2,"(4, 4)",across,kępiasą,23
11,player 3,"(1, 5)",down,hyćę,11
11,player 4,"(5, 11)",down,żgały,13
11,player 1,"(9, 10)",down,ny,4
11,player 2,"(2, 2)",across,cały,8
11,player 3,"(10, 5)",across,genowy,7
11,player 4,"(6, 3)",across,kimane,7
11,player 1,"(10, 9)",down,wrzó,7
11,player 2,"(13, 4)",across,aelwców,8
11,player 3,"(3, 10)",across,tyj,11
11,player 4,"(1, 3)",down,tam,8
11,player 1,"(12, 7)",down,iw,1
11,player 2,"(6, 3)",down,kobemi,10
11,player 3,"(14, 0)",across,broda,24
