played_word,word_score
deck,14
ikstj,10
teatry,7
misie,5
myrin,6
eś,15
łat,8
ny,4
hiw,3
eee,1
gańd,11
gapiącm,15
pad,8
wyczut,12
imioa,8
nieśny,5
iw,1
ognić,14
łamakw,14
ohmw,5
leżo,8
dozó,18
jaźń,13
orylai,7
blon,7
bekse,10
apsao,5
tukę,8
ukaż,22
toteu,6
morsznca,60
delty,7
siorp,7
pab,4
izan,6
hiw,3
jeżowc,9
pólom,10
zderzą,13
mysia,18
jagł,7
faetnu,11
dośn,8
szydź,14
łza,6
lingwiz,9
wety,4
jadę,27
dnień,17
procki,8
mela,4
iw,1
arietk,16
ostygną,23
dośn,18
ulow,12
dil,9
zmyj,24
kia,3
we,2
carenę,11
pitbl,21
lóź,19
łyg,9
łajez,12
as,1
canon,7
renile,6
ziońy,11
tachać,13
tonf,7
da,2
mh,2
iw,2
wiersach,66
zważeiom,62
zleciła,11
nieurosł,10
dict,14
zbijały,13
piwsu,9
zgare,9
bigil,11
dopią,10
as,1
ptast,8
hiśie,10
cwaneo,12
jeoy,6
maźic,13
czy,7
raksy,5
pań,8
nonoa,12
tynó,8
wildz,6
met,1
feny,7
rżała,20
amylu,20
miau,4
haterka,9
zeus,12
asanai,6
melio,9
orańso,12
pupo,21
ghu,6
nif,6
eś,5
syt,2
niewisko,60
sadeł,13
wyryło,13
katacrez,59
dykcj,14
chone,14
częso,24
gezwie,6
peonij,7
mątw,11
dmi,3
wan,1
żena,18
baźe,22
drwac,6
roztle,7
tó,5
in,1
my,2
żwacem,24
obszcin,11
schru,9
pędah,8
pajdy,21
as,1
eś,5
rońie,24
bazgane,10
jugolkm,21
łażą,8
riasy,3
woź,10
aa,1
ceresó,18
ćmik,9
zsiał,8
skup,7
da,2
kia,1
furażoe,12
wionę,9
jeoy,7
szwem,3
neko,2
dan,1
on,1
netai,12
woź,11
jamse,7
fidz,7
alopaami,62
zidić,10
etycna,14
omy,1
niweleą,12
dyra,18
iżbm,9
huti,16
odczepis,60
czy,7
kłeck,9
ajrnów,18
ninj,8
gabr,10
gniłk,18
her,12
szrońe,10
kęs,12
ośla,9
zwal,9
mezur,6
mecy,5
eś,12
opadow,8
śmią,8
hermą,10
twój,15
bisy,12
pajua,7
aa,1
hizpy,13
lałoy,21
gorzeć,12
edt,4
lżen,18
miodze,6
as,1
kładź,14
seny,9
ganiać,14
ińka,12
listew,7
in,1
mięłby,17
wiraloy,7
ozuwa,8
tafi,11
chn,3
erc,3
aj,3
klago,18
landow,11
riasy,8
geofil,11
szałwa,13
gonie,3
mh,3
as,1
cały,9
wżd,7
nęda,7
eś,6
jett,5
ny,3
klaunó,12
zakap,8
wezyr,5
stemm,21
jeńa,11
bio,4
we,1
macank,12
rajzai,6
widnio,7
papu,9
echiy,8
ratalą,24
hechja,14
śryze,18
ceiowi,8
łuzm,13
włomoi,9
amf,16
zwodząa,8
gińy,11
blantwi,9
hodż,6
pylaty,9
unibr,8
ismen,15
icek,12
cerwd,7
złaźy,11
nitruję,8
in,2
as,1
różana,18
skleć,11
giemy,8
skipoy,18
nitru,3
son,2
piewi,12
obluźi,24
gęsieu,11
wjad,18
ihrmu,7
