player_1_score,player_2_score,player_3_score,player_4_score
71,62,65,59
78,53,47,66
82,58,92,64
93,58,40,50
125,70,66,60
77,52,77,111
110,53,53,41
125,83,71,46
70,70,62,42
83,72,106,39
127,76,44,52
134,61,68,50
51,76,104,47
83,102,60,39
94,110,55,104
91,61,47,32
69,47,115,52
176,121,44,50
108,55,68,60
121,88,60,39
73,84,49,39
56,55,75,76
60,160,61,53
127,105,66,52
63,46,55,140
57,62,50,65
80,118,52,85
67,91,50,55
117,45,44,64
72,65,47,53
147,67,63,61
77,51,69,56
66,54,64,109
79,55,81,64
98,58,54,36
90,84,162,60
73,71,48,69
63,78,73,69
67,61,62,65
81,58,72,59
70,86,111,69
123,65,96,74
91,57,48,62
70,81,48,101
130,64,61,54
82,96,65,44
103,66,54,44
68,64,55,72
72,51,76,76
65,72,71,94
85,38,55,64
72,72,75,46
158,50,69,130
127,131,52,50
66,63,52,76
89,51,52,64
78,53,49,54
177,69,58,67
65,53,101,66
66,60,99,52
112,66,50,56
75,97,49,86
63,39,60,78
76,83,64,40
46,65,45,77
90,79,95,32
99,59,126,52
68,69,105,54
185,39,51,52
75,71,61,42
111,56,66,59
72,57,45,67
54,128,116,55
143,46,37,36
77,68,75,47
81,76,97,64
78,60,61,48
63,59,86,53
68,118,65,53
98,80,123,56
67,68,104,92
88,69,84,55
110,101,69,56
73,71,135,52
52,89,59,106
136,70,58,49
184,75,63,46
128,59,49,67
254,79,45,44
71,53,67,90
64,55,62,71
74,75,62,57
131,76,50,68
126,42,77,43
73,67,78,71
148,60,53,48
91,49,55,65
46,93,64,54
131,52,62,93
171,47,63,43
61,67,110,51
83,120,118,55
41,97,67,77
184,63,47,77
82,82,52,98
175,67,42,45
90,119,105,48
96,112,127,92
78,125,76,42
99,45,55,146
180,59,74,54
76,107,47,54
150,54,108,67
76,72,48,46
84,71,52,66
65,79,57,60
125,69,61,48
73,59,90,53
101,50,61,46
66,59,98,54
69,117,114,45
70,79,58,131
88,44,67,45
102,109,41,61
58,59,66,44
55,89,40,40
78,67,58,53
92,103,57,140
84,102,37,45
132,93,63,44
69,51,53,50
71,99,43,77
123,82,51,42
124,66,58,42
74,108,66,74
74,48,74,71
115,52,79,97
141,59,119,40
88,63,61,48
51,72,71,49
123,79,60,57
64,79,32,40
93,56,41,54
87,55,61,71
78,71,71,41
65,84,142,67
88,61,59,55
71,69,47,67
56,54,81,53
64,56,48,61
81,68,34,53
126,54,64,53
80,47,62,162
73,144,67,43
82,62,68,58
143,54,55,100
87,49,51,64
91,59,81,47
75,71,62,65
59,61,79,42
109,55,53,52
80,64,78,65
76,115,58,38
89,73,74,90
131,101,52,90
68,52,99,47
47,85,77,49
53,56,72,83
75,108,52,39
114,65,39,72
146,57,69,54
98,50,117,58
54,123,45,59
92,66,49,79
117,57,96,59
76,57,52,56
69,72,118,55
169,50,49,59
73,52,47,96
94,65,53,49
73,53,67,50
70,50,51,65
79,58,96,51
64,98,69,94
80,105,58,57
72,85,42,89
59,75,45,62
91,69,50,52
75,75,64,36
55,117,59,85
145,54,56,44
82,67,52,50
92,46,87,59
75,98,54,95
100,48,125,59
56,43,61,47
60,78,61,69
72,50,109,106
82,99,66,39
68,53,101,64
94,56,65,108
78,107,71,46
65,110,68,55
74,66,75,42
51,40,79,48
100,41,49,52
89,53,50,55
83,57,60,76
135,50,67,42
136,57,64,56
74,79,65,57
81,45,47,51
70,60,111,61
59,64,69,55
79,75,115,101
84,102,107,53
84,50,121,45
72,68,63,79
65,56,55,55
68,80,37,46
75,73,60,103
71,40,65,55
122,51,45,67
80,79,90,59
75,56,58,48
80,60,61,59
104,74,70,55
91,52,44,103
66,49,64,107
91,67,48,93
82,46,92,47
84,60,36,78
77,62,52,54
111,53,67,59
80,59,53,126
82,50,65,89
115,70,47,43
134,60,58,98
96,72,72,55
80,116,78,35
118,72,86,60
67,72,62,55
81,112,65,61
72,56,74,96
69,75,56,46
88,112,93,66
102,50,47,64
69,99,98,57
83,73,115,92
84,57,51,55
56,56,71,62
129,43,47,50
72,71,45,76
115,49,81,57
44,72,66,78
55,117,113,58
63,61,113,48
179,62,56,66
122,76,52,65
63,70,58,52
64,121,60,49
84,77,52,97
95,74,64,43
76,123,49,85
74,60,57,54
77,59,45,62
117,111,95,87
88,45,41,113
74,52,73,64
121,51,53,44
60,85,35,76
68,75,62,162
66,68,42,107
80,60,45,59
68,48,73,48
61,87,63,108
80,51,53,46
51,61,70,78
94,68,69,101
86,55,64,53
80,48,78,44
85,51,52,80
82,62,55,45
62,84,94,68
87,88,78,61
39,101,57,49
66,90,41,41
60,150,99,54
116,75,53,75
65,65,91,61
73,62,54,49
98,44,115,45
66,52,50,80
78,66,47,71
80,82,67,53
62,70,62,84
80,60,48,46
131,58,92,57
75,59,51,69
70,54,55,50
122,83,77,53
75,62,72,63
75,59,56,54
39,159,75,93
75,135,54,64
116,45,64,48
90,84,56,55
73,81,60,51
143,112,37,68
124,55,52,71
100,44,39,62
42,58,71,58
82,149,68,39
92,107,108,53
80,71,48,67
73,54,41,55
56,66,60,66
84,61,108,73
93,46,62,50
73,63,48,61
85,110,72,60
98,37,103,102
129,118,50,86
64,63,46,69
72,62,49,51
119,70,72,46
82,70,60,30
67,65,42,69
136,33,67,41
69,70,47,61
70,76,56,90
70,59,42,69
84,63,52,63
118,55,75,57
91,59,71,115
89,102,57,87
83,115,44,42
77,109,58,44
79,102,68,62
67,115,79,39
137,122,62,46
79,73,105,47
72,67,90,83
139,96,74,60
67,122,58,54
67,60,73,45
84,67,61,58
42,98,55,39
84,48,75,49
71,51,74,62
81,82,94,45
66,59,42,48
69,45,56,57
70,68,65,49
96,48,73,70
99,56,110,73
133,102,51,55
67,80,53,76
67,107,40,78
147,52,37,55
74,55,57,70
85,131,41,35
85,49,126,92
77,111,47,78
128,59,54,66
77,114,117,47
59,70,64,93
142,66,104,54
79,103,40,57
128,68,81,53
110,42,63,107
88,61,58,66
45,89,60,51
73,157,63,44
63,78,59,48
71,51,116,82
119,80,62,75
83,89,40,62
80,66,60,43
71,103,59,74
144,38,43,53
123,56,72,54
68,53,48,144
116,113,84,56
110,56,61,45
77,86,53,104
120,47,97,62
80,78,47,72
81,51,100,121
81,80,63,88
73,42,82,58
115,62,37,78
77,76,62,41
68,62,93,82
120,118,51,45
68,109,59,49
64,53,52,80
140,50,40,54
122,71,38,60
58,96,65,119
54,53,56,66
67,66,74,61
178,70,55,41
71,82,41,43
91,51,63,34
47,113,118,102
134,80,58,66
139,47,118,61
133,45,62,70
60,67,70,97
69,48,60,58
56,54,55,161
110,101,59,153
67,63,56,40
88,98,55,40
76,47,67,107
107,67,52,50
91,57,53,63
107,121,45,70
75,60,52,117
142,56,51,43
70,82,49,63
112,80,46,59
