game_number,player,start_pos,direction,word,score
0,player 1,"(7, 7)",across,kwaśm,22
0,player 1,"(3, 9)",down,fistazku,65
0,player 2,"(2, 11)",down,gęsiam,20
0,player 3,"(10, 8)",across,żuł,11
0,player 4,"(5, 8)",across,wspinć,10
0,player 1,"(1, 13)",down,dymić,14
0,player 2,"(8, 2)",across,mąceiu,14
0,player 3,"(9, 11)",down,delto,12
0,player 4,"(13, 10)",across,locj,14
0,player 1,"(2, 2)",down,ocieram,8
0,player 2,"(3, 0)",across,irch,11
0,player 3,"(0, 0)",down,taniny,21
0,player 4,"(3, 5)",down,zsadźe,14
0,player 1,"(8, 4)",down,chełba,12
0,player 2,"(12, 1)",across,zbabień,17
0,player 3,"(4, 4)",across,ósmy,12
0,player 4,"(9, 1)",down,peszy,12
0,player 1,"(0, 7)",down,warzy,12
0,player 2,"(1, 2)",across,pokonaj,10
0,player 3,"(0, 7)",across,walneo,6
0,player 4,"(13, 0)",across,ny,1
0,player 1,"(2, 10)",across,ogry,3
0,player 1,"(10, 0)",across,we,1
1,player 1,"(7, 7)",across,pepto,16
1,player 1,"(5, 8)",down,wieź,11
1,player 2,"(3, 10)",down,zażyt,10
1,player 3,"(3, 10)",across,złym,13
1,player 4,"(1, 13)",down,odmocy,16
1,player 1,"(5, 3)",across,rebabw,9
1,player 2,"(0, 3)",down,niekarle,63
1,player 3,"(1, 1)",across,tlij,14
1,player 4,"(0, 3)",across,nasiad,18
1,player 1,"(3, 0)",across,sankoano,57
1,player 2,"(7, 0)",across,uwieze,21
1,player 3,"(5, 0)",down,ghu,6
1,player 4,"(7, 1)",down,wykonuą,24
1,player 1,"(12, 1)",across,uwięziła,63
1,player 2,"(7, 11)",down,osiadas,11
1,player 3,"(11, 3)",down,fil,17
1,player 4,"(10, 10)",across,barć,13
1,player 1,"(9, 1)",across,końce,11
1,player 2,"(1, 9)",across,kpnko,7
1,player 3,"(5, 5)",down,bieśe,6
1,player 4,"(12, 11)",across,aj,6
1,player 1,"(13, 9)",across,rós,6
1,player 2,"(0, 6)",down,imen,3
1,player 3,"(11, 6)",down,hiw,4
1,player 4,"(13, 0)",across,tą,2
1,player 1,"(6, 12)",across,my,2
2,player 1,"(7, 7)",across,irbs,12
2,player 1,"(6, 7)",down,ninj,5
2,player 2,"(7, 10)",down,skłonni,10
2,player 3,"(13, 7)",across,rokicin,16
2,player 4,"(3, 6)",down,dyńo,12
2,player 1,"(3, 6)",across,deptcz,10
2,player 2,"(11, 8)",across,banuą,18
2,player 3,"(8, 0)",across,metalofn,62
2,player 4,"(7, 3)",down,halal,12
2,player 1,"(5, 0)",down,gaym,18
2,player 2,"(1, 10)",down,irchy,10
2,player 3,"(11, 3)",across,lóź,14
2,player 4,"(1, 8)",across,zwisas,10
2,player 1,"(4, 2)",across,peszy,6
2,player 2,"(0, 3)",down,wpiłe,13
2,player 3,"(1, 1)",across,rypie,10
2,player 4,"(8, 12)",down,gają,7
2,player 1,"(0, 12)",down,wam,5
2,player 2,"(1, 1)",down,rżę,10
2,player 3,"(3, 8)",down,pać,7
