game_number,player,start_pos,direction,word,score
0,player 1,"(7, 7)",across,żeła,20
0,player 1,"(3, 9)",down,nizałyy,7
0,player 2,"(3, 7)",across,manato,11
0,player 3,"(0, 7)",down,kalmi,18
0,player 4,"(0, 12)",down,wykonaj,12
0,player 1,"(1, 6)",across,paź,11
0,player 2,"(4, 1)",across,trznili,8
0,player 3,"(5, 11)",across,pać,8
0,player 4,"(1, 1)",down,omotc,12
0,player 1,"(1, 3)",down,woszeie,8
0,player 2,"(7, 0)",across,redeco,21
0,player 3,"(1, 10)",across,bzyc,12
0,player 4,"(6, 0)",down,drwią,9
0,player 1,"(7, 4)",down,cóki,9
0,player 2,"(10, 3)",across,giemy,8
0,player 3,"(10, 3)",down,gurd,12
0,player 4,"(13, 1)",across,pędah,22
0,player 1,"(9, 8)",across,hysi,5
0,player 2,"(8, 11)",down,nieba,12
0,player 3,"(12, 10)",across,fant,9
0,player 4,"(8, 6)",down,szmir,4
0,player 1,"(9, 14)",down,łoje,8
0,player 2,"(7, 2)",down,dwa,2
0,player 3,"(10, 11)",across,eś,5
0,player 1,"(5, 8)",across,uz,3
0,player 3,"(2, 3)",across,on,1
1,player 1,"(7, 7)",across,ozię,16
1,player 1,"(7, 7)",down,obżą,13
1,player 2,"(3, 10)",down,hondę,8
1,player 3,"(4, 6)",across,kaźnom,15
1,player 4,"(0, 7)",down,lidea,18
1,player 1,"(10, 3)",across,ślisą,11
1,player 2,"(0, 7)",across,latarń,12
1,player 3,"(1, 2)",across,zbójoi,10
1,player 4,"(0, 0)",across,włu,21
1,player 1,"(1, 3)",down,baklwy,12
1,player 2,"(0, 0)",down,wapniem,8
1,player 3,"(7, 4)",down,dialit,7
1,player 4,"(12, 2)",across,łat,7
1,player 1,"(8, 0)",across,bornic,8
1,player 2,"(7, 1)",down,rocza,5
1,player 3,"(5, 10)",across,nygo,6
1,player 4,"(3, 10)",across,houe,7
1,player 1,"(5, 12)",down,geste,5
1,player 2,"(1, 13)",down,kwefo,12
1,player 3,"(9, 9)",across,kije,6
1,player 4,"(9, 11)",down,jaczy,10
1,player 1,"(5, 2)",across,gwer,5
1,player 2,"(13, 10)",across,pysi,8
1,player 3,"(4, 0)",across,in,1
1,player 4,"(11, 9)",across,emc,3
1,player 1,"(3, 3)",across,kpć,8
1,player 3,"(11, 4)",across,iw,1
1,player 3,"(0, 10)",down,as,1
2,player 1,"(7, 7)",across,nałkń,28
2,player 1,"(5, 9)",down,bełsim,8
2,player 2,"(10, 5)",across,echem,7
2,player 3,"(2, 7)",down,toksyny,10
2,player 4,"(3, 6)",across,rodniac,10
2,player 1,"(0, 12)",down,syfce,14
2,player 2,"(0, 10)",down,atiia,6
2,player 3,"(4, 5)",down,krzywiej,59
2,player 4,"(0, 5)",across,pagoda,27
2,player 1,"(7, 2)",across,gbry,7
2,player 2,"(6, 3)",down,obywcie,10
2,player 3,"(4, 3)",across,pók,12
2,player 4,"(12, 1)",across,wież,8
2,player 1,"(11, 1)",down,uwu,12
2,player 2,"(9, 8)",across,wiolę,8
2,player 3,"(4, 12)",across,eś,5
2,player 4,"(9, 11)",down,lotni,9
2,player 1,"(12, 7)",across,łapiny,11
2,player 2,"(7, 0)",down,lejom,27
2,player 3,"(11, 11)",across,tmz,3
2,player 4,"(1, 3)",down,olep,6
2,player 1,"(1, 2)",across,son,2
2,player 3,"(5, 11)",down,zań,2
2,player 4,"(3, 0)",across,dane,4
2,player 3,"(5, 5)",across,ras,1
3,player 1,"(7, 7)",across,dzyń,24
3,player 1,"(6, 9)",down,tynó,8
3,player 2,"(9, 6)",across,wiłó,5
3,player 3,"(8, 4)",across,efi,7
3,player 4,"(3, 4)",down,błędze,12
3,player 1,"(3, 0)",across,roilby,11
3,player 2,"(1, 1)",down,poorać,22
3,player 3,"(5, 3)",across,kępk,6
3,player 4,"(2, 5)",across,micw,6
3,player 1,"(0, 7)",down,ojca,15
3,player 2,"(0, 5)",across,esoej,6
3,player 3,"(1, 1)",across,paiż,7
3,player 4,"(8, 3)",down,neni,6
3,player 1,"(10, 2)",across,śnca,10
3,player 2,"(9, 8)",down,łosią,8
3,player 3,"(11, 8)",across,shot,9
3,player 4,"(8, 11)",down,slotah,8
3,player 1,"(12, 4)",across,uleźi,15
3,player 2,"(13, 10)",across,cher,8
3,player 3,"(10, 14)",down,bomu,9
3,player 4,"(10, 10)",across,dom,6
3,player 1,"(2, 8)",down,wazę,7
3,player 2,"(4, 8)",across,zegna,9
3,player 3,"(12, 4)",down,uz,1
3,player 4,"(3, 11)",down,gnaw,11
3,player 1,"(8, 11)",across,sra,2
3,player 4,"(11, 6)",down,we,1
3,player 1,"(5, 11)",across,as,1
3,player 3,"(11, 6)",down,wen,1
4,player 1,"(7, 7)",across,łkj,16
4,player 1,"(0, 9)",down,etnachij,59
4,player 2,"(3, 9)",across,amf,17
4,player 3,"(0, 5)",across,ozuce,21
4,player 4,"(3, 7)",down,walały,7
4,player 1,"(1, 9)",across,tenit,10
4,player 2,"(4, 4)",across,zada,5
4,player 3,"(4, 5)",down,ankh,6
4,player 4,"(5, 9)",across,heló,8
4,player 1,"(5, 11)",down,lwiatk,7
4,player 2,"(10, 8)",across,jaśk,14
4,player 3,"(10, 10)",down,śnca,4
4,player 4,"(12, 10)",across,cery,5
4,player 1,"(8, 10)",across,papę,9
4,player 2,"(0, 13)",down,atypi,6
4,player 3,"(4, 14)",down,nożą,21
4,player 4,"(7, 0)",across,geesah,21
4,player 1,"(6, 1)",down,werbloi,9
4,player 2,"(11, 1)",across,osłe,11
4,player 3,"(10, 4)",down,zeń,9
4,player 4,"(10, 13)",down,rżym,16
4,player 1,"(3, 0)",across,bromu,14
4,player 2,"(2, 2)",down,do,4
4,player 3,"(13, 7)",across,osca,4
4,player 4,"(1, 2)",down,idow,2
4,player 1,"(2, 8)",across,in,1
4,player 2,"(1, 1)",across,gidi,12
4,player 3,"(2, 2)",across,do,1
4,player 4,"(7, 4)",down,as,1
4,player 2,"(0, 7)",down,uz,1
5,player 1,"(7, 7)",across,otrę,18
5,player 1,"(3, 7)",down,czadowo,8
5,player 2,"(9, 5)",across,kłośż,15
5,player 3,"(3, 7)",across,chauy,13
5,player 4,"(0, 10)",down,donuć,14
5,player 1,"(1, 10)",across,odom,10
5,player 2,"(5, 4)",across,czkań,12
5,player 3,"(3, 4)",down,haceem,9
5,player 4,"(0, 7)",across,derd,12
5,player 1,"(7, 0)",across,puzze,21
5,player 2,"(3, 1)",across,techo,10
5,player 3,"(7, 1)",down,usypane,16
5,player 4,"(11, 1)",across,apiolgii,61
5,player 1,"(1, 1)",down,bata,10
5,player 2,"(10, 4)",down,polj,9
5,player 3,"(12, 8)",across,wiejsi,9
5,player 4,"(9, 11)",down,źgajm,17
5,player 1,"(7, 13)",down,akrybi,9
5,player 2,"(13, 0)",across,seryjne,6
5,player 3,"(4, 14)",down,fils,27
5,player 4,"(7, 9)",down,rażą,6
5,player 1,"(6, 9)",down,wrażą,1
5,player 3,"(1, 12)",down,on,2
5,player 4,"(9, 0)",across,ny,1
5,player 3,"(12, 9)",down,iw,1
6,player 1,"(7, 7)",across,lazare,14
6,player 1,"(3, 11)",down,unibr,14
6,player 2,"(5, 7)",across,krowin,6
6,player 3,"(2, 7)",down,perkal,5
6,player 4,"(2, 6)",across,upoće,11
6,player 1,"(1, 1)",across,szykom,18
6,player 2,"(1, 4)",down,kiprzc,8
6,player 3,"(3, 1)",across,atypi,10
6,player 4,"(0, 0)",across,da,9
6,player 1,"(0, 1)",down,asfatowa,10
6,player 2,"(7, 0)",across,wazę,21
6,player 3,"(7, 0)",down,wymóg,12
6,player 4,"(11, 0)",across,gołk,10
6,player 1,"(1, 10)",across,wlec,12
6,player 2,"(0, 7)",across,zise,9
6,player 3,"(9, 2)",down,mełłb,12
6,player 4,"(1, 13)",down,cny,3
6,player 1,"(7, 8)",down,acedj,8
6,player 2,"(5, 0)",across,pot,4
6,player 3,"(10, 5)",across,hajdal,12
6,player 4,"(9, 2)",across,mże,6
6,player 1,"(13, 0)",across,dąbsą,26
6,player 2,"(10, 6)",down,ans,2
6,player 3,"(6, 6)",across,aa,1
6,player 4,"(4, 10)",across,in,2
6,player 1,"(10, 10)",down,log,3
6,player 2,"(11, 10)",across,on,3
6,player 3,"(10, 10)",down,logo,1
6,player 1,"(7, 12)",down,eś,5
7,player 1,"(7, 7)",across,doppi,16
7,player 1,"(6, 8)",down,koszykoe,60
7,player 2,"(11, 8)",across,kanj,11
7,player 3,"(6, 10)",down,upyhani,11
7,player 4,"(10, 4)",across,chowy,9
7,player 1,"(4, 4)",down,żelazic,15
7,player 2,"(7, 0)",across,człaał,30
7,player 3,"(2, 0)",down,niekęco,11
7,player 4,"(4, 4)",across,żebrzą,11
7,player 1,"(8, 6)",down,glonkw,9
7,player 2,"(0, 7)",down,rostr,15
7,player 3,"(3, 0)",across,imać,21
7,player 4,"(1, 2)",down,omame,8
7,player 1,"(0, 5)",across,uprań,13
7,player 2,"(1, 1)",across,foci,16
7,player 3,"(11, 1)",across,alby,14
7,player 4,"(10, 1)",down,sanó,14
7,player 1,"(3, 9)",across,teraj,10
7,player 2,"(0, 13)",down,wdajez,10
7,player 3,"(0, 11)",down,gwarz,6
7,player 4,"(1, 10)",across,iw,1
7,player 3,"(5, 4)",across,eś,5
7,player 4,"(5, 0)",across,kie,1
7,player 3,"(13, 0)",across,tó,2
7,player 4,"(12, 6)",across,kro,1
7,player 3,"(1, 4)",down,in,1
7,player 4,"(13, 5)",across,iw,1
7,player 1,"(2, 4)",across,ny,2
7,player 2,"(2, 4)",across,nyss,1
8,player 1,"(7, 7)",across,rós,14
8,player 1,"(7, 9)",down,shoj,7
8,player 2,"(10, 4)",across,podryj,9
8,player 3,"(7, 5)",down,stronk,7
8,player 4,"(9, 8)",across,molw,5
8,player 1,"(3, 7)",down,latarń,13
8,player 2,"(3, 3)",across,błyśl,19
8,player 3,"(9, 11)",down,woź,28
8,player 4,"(12, 2)",across,dyrkem,10
8,player 1,"(11, 3)",down,łyp,11
8,player 2,"(7, 0)",across,naczos,18
8,player 3,"(6, 1)",down,żadze,9
8,player 4,"(5, 6)",across,atiia,4
8,player 1,"(1, 10)",down,etosah,9
8,player 2,"(3, 9)",across,kobac,14
8,player 3,"(0, 12)",down,szparz,8
8,player 4,"(1, 3)",down,webfn,8
8,player 1,"(1, 1)",across,nawoi,8
8,player 2,"(10, 0)",across,gej,6
8,player 3,"(0, 0)",across,kia,6
8,player 4,"(13, 7)",across,unik,7
8,player 1,"(1, 7)",across,eule,6
8,player 2,"(0, 7)",down,we,3
8,player 3,"(10, 0)",down,gzic,4
8,player 4,"(7, 3)",down,zią,6
