player_1_score,player_2_score,player_3_score,player_4_score
36,75,120,70
44,39,98,68
123,101,50,87
72,67,77,44
48,97,59,38
69,80,65,47
44,57,94,89
74,56,54,109
49,77,54,65
73,46,61,54
64,89,39,80
108,155,64,62
47,86,56,68
70,37,73,55
63,53,97,80
96,47,69,48
54,69,66,59
49,39,131,55
47,68,64,109
76,67,52,57
101,120,67,62
61,62,67,70
57,57,57,68
83,170,55,94
75,53,97,97
96,69,78,61
70,106,49,94
116,40,50,65
43,115,51,52
38,53,55,58
66,26,90,108
89,60,70,55
62,61,79,61
42,158,110,61
48,48,72,64
113,111,92,39
65,75,63,116
51,37,148,71
51,49,63,128
133,94,47,70
35,194,64,72
47,57,87,60
47,121,53,98
47,64,75,73
105,65,55,43
60,67,70,113
132,65,53,78
77,53,69,47
56,81,66,48
63,59,103,53
97,42,90,69
98,118,57,51
41,73,78,119
56,52,86,57
71,66,42,78
71,52,54,88
38,91,71,65
56,43,123,64
54,69,156,133
78,75,70,73
64,76,68,74
72,53,130,71
57,66,103,150
62,68,61,43
56,91,42,54
112,44,149,54
57,49,43,100
70,62,74,66
68,75,76,44
73,52,82,58
54,49,36,79
98,93,35,47
48,80,75,50
34,134,78,56
91,50,54,58
64,112,95,50
53,82,60,49
70,61,84,101
63,49,48,97
81,59,138,68
64,136,50,61
48,42,113,65
75,62,71,79
57,62,60,95
54,68,107,66
44,44,113,83
61,52,53,115
57,55,148,58
42,127,54,55
65,96,82,77
60,78,51,77
114,102,62,89
63,85,157,115
44,59,72,100
52,55,53,68
92,62,55,44
68,128,53,47
49,48,76,63
43,47,59,67
64,52,54,77
106,111,120,68
61,47,105,49
66,69,81,73
74,68,62,45
108,69,64,106
50,63,71,44
95,73,127,91
135,56,65,57
70,72,74,45
72,51,100,60
109,78,62,134
75,46,51,50
66,69,53,97
55,56,99,64
42,44,75,92
142,123,74,42
55,71,62,43
57,51,95,56
35,95,66,80
74,78,61,43
41,112,62,69
51,44,95,72
59,62,52,138
65,52,57,40
69,129,72,113
58,46,118,158
55,49,56,132
89,49,59,51
75,131,52,103
47,57,121,121
59,63,47,84
92,60,35,49
39,136,49,50
58,68,131,76
53,55,73,95
69,98,57,48
69,74,66,97
62,67,85,47
78,91,74,101
89,47,50,60
62,134,55,77
131,58,69,96
70,130,43,71
75,69,62,113
94,135,85,50
49,64,128,53
65,67,54,127
90,51,52,58
100,73,42,62
121,58,72,116
79,60,45,81
129,61,42,77
46,144,71,69
34,118,134,49
57,70,49,81
175,80,45,49
68,127,66,51
63,53,61,51
67,79,58,55
71,60,64,37
64,91,54,44
62,56,129,114
56,104,48,61
101,61,57,33
112,125,61,48
59,58,83,65
86,38,111,104
96,103,43,62
49,68,102,112
46,61,141,81
63,69,64,72
104,58,51,57
91,140,57,62
58,73,66,82
42,45,48,110
82,38,74,85
66,77,56,64
41,76,78,70
57,56,72,145
74,66,58,60
67,135,85,37
50,49,151,101
81,51,41,122
87,50,105,65
66,75,96,68
45,83,90,51
62,59,40,70
59,67,56,87
59,63,41,53
49,63,140,107
67,70,112,82
112,73,105,63
62,135,57,60
63,50,76,113
53,63,63,128
72,161,73,71
73,99,54,62
58,93,132,48
63,62,99,68
82,111,53,115
