game_number,player,start_pos,direction,word,score
0,player 1,"(7, 7)",across,żarot,20
0,player 1,"(7, 10)",down,oczą,13
0,player 2,"(6, 8)",down,tajałaym,64
0,player 3,"(13, 8)",across,morzeń,20
0,player 4,"(11, 3)",across,ślipsa,21
0,player 1,"(7, 4)",down,bedel,8
0,player 2,"(11, 5)",down,iłó,8
0,player 3,"(7, 0)",across,grzeb,18
0,player 4,"(3, 11)",down,tenit,9
0,player 1,"(6, 0)",down,źgam,12
0,player 2,"(3, 2)",down,adhezj,10
0,player 3,"(3, 1)",across,zapnę,13
0,player 4,"(13, 0)",across,nasypó,14
0,player 1,"(4, 8)",across,romei,7
0,player 2,"(0, 1)",down,kodz,10
0,player 3,"(0, 0)",across,skici,15
0,player 4,"(10, 12)",down,houe,10
0,player 1,"(0, 9)",down,kwino,5
0,player 2,"(0, 6)",across,wysku,21
0,player 3,"(2, 6)",across,fobie,10
0,player 4,"(5, 2)",across,halal,6
0,player 1,"(10, 1)",down,kyaa,5
0,player 2,"(12, 1)",across,aa,2
0,player 3,"(6, 11)",across,iw,1
0,player 4,"(11, 11)",across,wok,3
0,player 1,"(1, 1)",across,on,1
0,player 2,"(2, 4)",down,in,1
1,player 1,"(7, 7)",across,teraj,16
1,player 1,"(2, 10)",down,lizynah,11
1,player 2,"(3, 6)",across,czekita,13
1,player 3,"(0, 7)",down,łasze,18
1,player 4,"(2, 12)",down,badya,11
1,player 1,"(0, 1)",across,wypaciły,61
1,player 2,"(0, 1)",down,winklw,14
1,player 3,"(3, 1)",across,kofi,17
1,player 4,"(2, 4)",down,kiś,12
1,player 1,"(5, 0)",down,iłó,18
1,player 2,"(6, 8)",down,tempua,10
1,player 3,"(11, 2)",across,redliła,12
1,player 4,"(10, 8)",across,ureaza,6
1,player 1,"(8, 13)",down,szaboy,16
1,player 2,"(7, 4)",down,grzędoi,16
1,player 3,"(13, 1)",across,żomia,18
1,player 4,"(14, 5)",across,simo,15
1,player 1,"(9, 11)",down,jaźń,37
1,player 2,"(9, 2)",across,uczoą,11
1,player 3,"(5, 9)",across,ny,1
1,player 4,"(2, 4)",down,kiść,6
