game_number,player,start_pos,direction,word,score
0,player 1,"(7, 7)",across,inny,10
0,player 1,"(2, 7)",down,wątroie,11
0,player 2,"(2, 9)",down,drapanyi,60
0,player 3,"(5, 0)",across,sanseier,57
0,player 4,"(5, 0)",down,surfy,33
0,player 1,"(0, 1)",down,hangea,18
0,player 2,"(0, 0)",across,choiowej,122
0,player 3,"(2, 9)",across,dozó,12
0,player 4,"(3, 3)",down,mistel,12
0,player 1,"(4, 7)",across,trapmż,12
0,player 2,"(1, 11)",down,czum,11
0,player 3,"(9, 8)",across,lizawc,7
0,player 4,"(9, 12)",down,wałęa,15
0,player 1,"(13, 10)",across,swak,8
0,player 2,"(11, 7)",across,hajtały,12
0,player 3,"(3, 0)",across,źgam,10
0,player 4,"(4, 5)",down,dingy,8
0,player 1,"(0, 6)",down,eś,5
0,player 2,"(4, 12)",down,żmii,4
0,player 3,"(6, 11)",across,kie,3
0,player 4,"(11, 8)",down,as,1
0,player 1,"(8, 11)",down,zada,3
1,player 1,"(7, 7)",across,pf,14
1,player 1,"(6, 8)",across,płode,9
1,player 2,"(2, 10)",down,etapoa,8
1,player 3,"(1, 12)",down,etycce,11
1,player 4,"(1, 11)",across,geg,12
1,player 1,"(3, 6)",across,strąt,9
1,player 2,"(0, 7)",down,obit,15
1,player 3,"(0, 5)",across,wwozó,8
1,player 4,"(7, 7)",down,poluję,11
1,player 1,"(8, 3)",across,samao,5
1,player 2,"(7, 0)",across,zima,15
1,player 3,"(1, 1)",down,zadrwli,14
1,player 4,"(3, 0)",across,odiu,11
1,player 1,"(10, 6)",across,kuźi,12
1,player 2,"(12, 2)",across,siedzę,7
1,player 3,"(1, 1)",across,zeżre,8
1,player 4,"(5, 0)",across,awiacj,8
1,player 1,"(10, 9)",down,inny,4
1,player 2,"(8, 4)",down,any,5
1,player 3,"(11, 9)",across,nica,8
1,player 4,"(10, 12)",down,wańk,17
1,player 1,"(13, 8)",across,zyg,4
1,player 2,"(11, 3)",down,kił,9
1,player 3,"(4, 4)",down,och,5
1,player 4,"(9, 13)",down,we,2
1,player 1,"(13, 12)",across,ku,6
1,player 2,"(10, 14)",down,ny,3
1,player 3,"(12, 5)",down,do,1
1,player 1,"(0, 5)",down,wen,1
2,player 1,"(7, 7)",across,fus,18
2,player 1,"(7, 9)",down,słodź,15
2,player 2,"(6, 7)",down,afgnie,7
2,player 3,"(11, 3)",across,domie,10
2,player 4,"(7, 5)",down,ozojmi,7
2,player 1,"(9, 9)",across,ożóć,16
2,player 2,"(7, 3)",across,cło,5
2,player 3,"(4, 12)",down,wspinć,6
2,player 4,"(5, 10)",across,rysy,5
2,player 1,"(0, 6)",down,znudzoa,60
2,player 2,"(3, 3)",across,siedzę,11
2,player 3,"(0, 5)",across,sztac,18
2,player 4,"(1, 10)",down,lempr,9
2,player 1,"(2, 9)",across,cewce,8
2,player 2,"(5, 0)",across,nieryżo,6
2,player 3,"(0, 13)",down,them,14
2,player 4,"(0, 0)",down,wrabany,27
2,player 1,"(12, 0)",across,ińka,13
2,player 2,"(1, 0)",across,rajok,14
2,player 3,"(9, 0)",down,bąki,10
2,player 4,"(9, 0)",across,bila,4
2,player 1,"(2, 0)",across,aa,1
2,player 2,"(4, 2)",down,her,4
2,player 3,"(7, 11)",across,zip,3
2,player 4,"(12, 5)",across,in,1
2,player 1,"(6, 14)",down,tmz,9
2,player 2,"(11, 3)",down,dal,2
3,player 1,"(7, 7)",across,nacj,14
3,player 1,"(3, 10)",down,esenja,6
3,player 2,"(8, 11)",down,alib,13
3,player 3,"(5, 7)",down,raniłe,7
3,player 4,"(3, 7)",across,spieta,11
3,player 1,"(0, 7)",down,wpis,12
3,player 2,"(10, 4)",across,drzeć,12
3,player 3,"(0, 7)",across,wistuąc,14
3,player 4,"(5, 5)",down,wykierue,61
3,player 1,"(2, 12)",down,paź,13
3,player 2,"(12, 4)",across,żegot,11
3,player 3,"(5, 2)",across,gnaw,5
3,player 4,"(7, 0)",across,hokejk,27
3,player 1,"(10, 10)",across,fizy,13
3,player 2,"(6, 1)",down,homoś,11
3,player 3,"(3, 3)",down,daniea,9
3,player 4,"(8, 13)",down,omyloo,14
3,player 1,"(3, 3)",across,dbń,10
3,player 2,"(7, 14)",down,in,6
3,player 3,"(1, 3)",across,wykop,6
3,player 4,"(0, 10)",down,tó,5
3,player 1,"(2, 8)",down,wpę,6
3,player 2,"(12, 12)",across,do,4
3,player 3,"(6, 7)",across,aa,1
3,player 4,"(13, 9)",across,osnoo,4
3,player 1,"(9, 0)",across,moc,4
3,player 3,"(6, 10)",across,ny,2
3,player 4,"(9, 0)",down,met,1
4,player 1,"(7, 7)",across,prycz,16
4,player 1,"(2, 9)",down,doscły,9
4,player 2,"(3, 8)",across,post,9
4,player 3,"(7, 8)",down,raźa,11
4,player 4,"(10, 2)",across,nieubrai,61
4,player 1,"(9, 2)",down,znęće,19
4,player 2,"(7, 11)",down,ziewu,12
4,player 3,"(13, 1)",across,gemam,16
4,player 4,"(6, 4)",down,górne,10
4,player 1,"(7, 0)",across,kalió,18
4,player 2,"(14, 5)",across,yard,18
4,player 3,"(5, 7)",across,bycznk,9
4,player 4,"(12, 5)",across,omack,8
4,player 1,"(4, 0)",down,wańk,9
4,player 2,"(1, 1)",down,pite,12
4,player 3,"(3, 1)",across,teje,11
4,player 4,"(0, 4)",down,haden,8
4,player 1,"(1, 3)",across,żalą,12
4,player 2,"(4, 4)",across,nif,6
4,player 3,"(2, 0)",across,hiw,5
4,player 4,"(0, 6)",across,toia,15
4,player 1,"(11, 10)",across,suwn,3
4,player 2,"(1, 11)",down,syt,3
4,player 3,"(9, 10)",across,leli,5
4,player 4,"(11, 12)",down,we,2
4,player 1,"(7, 1)",down,aj,3
4,player 3,"(4, 0)",across,wen,1
4,player 3,"(1, 11)",across,słę,6
5,player 1,"(7, 7)",across,ażi,14
5,player 1,"(4, 9)",down,maźic,14
5,player 2,"(5, 7)",down,spanielk,60
5,player 3,"(4, 9)",across,muzy,9
5,player 4,"(2, 11)",down,zazłć,13
5,player 1,"(2, 8)",across,tarzł,10
5,player 2,"(11, 2)",across,wersalia,58
5,player 3,"(10, 4)",down,groń,14
5,player 4,"(13, 0)",across,uczeńi,16
5,player 1,"(9, 0)",down,lynhu,8
5,player 2,"(12, 9)",across,szal,7
5,player 3,"(3, 5)",across,osią,8
5,player 4,"(14, 5)",across,wetoi,18
5,player 1,"(11, 11)",down,gad,11
5,player 2,"(11, 13)",down,bór,18
5,player 3,"(9, 2)",down,pawęz,13
5,player 4,"(2, 5)",down,rowkoej,8
5,player 1,"(2, 1)",across,menzr,6
5,player 2,"(0, 1)",down,combr,14
5,player 3,"(0, 0)",across,śceki,27
5,player 4,"(7, 1)",across,afone,8
5,player 1,"(6, 1)",down,tam,4
5,player 3,"(2, 3)",down,ny,6
5,player 4,"(0, 9)",down,dwa,3
5,player 1,"(6, 3)",down,do,2
5,player 3,"(4, 4)",across,iw,2
5,player 3,"(9, 7)",across,in,1
6,player 1,"(7, 7)",across,bikerz,18
6,player 1,"(3, 11)",down,dziuroa,13
