player_1_score,player_2_score,player_3_score,player_4_score
66,49,143,59
85,63,64,41
74,111,45,50
96,60,41,76
70,50,96,109
78,113,49,49
98,61,103,44
96,46,62,73
88,71,53,59
47,107,70,58
72,75,61,63
83,60,121,60
78,51,68,98
73,53,136,47
147,51,50,37
85,42,50,36
73,103,57,49
80,93,48,69
71,70,137,70
72,132,78,42
75,128,72,40
51,57,118,100
96,74,43,59
67,60,54,71
75,58,80,31
86,61,133,52
65,62,63,68
113,68,47,51
66,78,60,82
71,51,66,51
93,51,52,53
87,79,67,41
69,43,69,50
82,64,44,75
72,67,67,40
77,78,55,74
90,48,107,66
80,130,109,54
125,53,125,57
66,51,53,103
94,70,54,47
83,41,110,115
88,118,138,36
83,52,48,53
94,56,61,111
124,96,103,36
181,56,44,71
85,42,75,65
133,53,62,58
125,54,49,65
100,46,47,58
75,109,103,66
87,56,57,48
71,61,46,50
77,143,128,33
130,53,61,67
77,51,75,54
107,65,40,46
61,55,83,63
78,68,43,68
72,41,85,69
70,66,43,62
64,141,49,73
102,71,50,34
86,71,104,61
86,62,58,79
70,56,45,54
78,112,60,53
106,44,61,121
69,82,40,56
78,63,49,74
144,56,112,39
69,58,45,85
101,55,59,46
79,106,49,57
85,113,55,47
96,51,46,47
69,67,58,118
76,55,52,120
132,90,48,61
160,65,60,41
74,100,93,55
144,44,79,47
96,51,39,54
91,70,63,101
135,62,37,63
82,112,61,101
65,73,49,99
65,136,167,84
58,80,85,65
68,61,88,56
74,44,40,55
134,104,47,88
131,119,77,107
77,55,54,93
78,54,49,69
144,63,48,47
138,60,127,39
65,52,45,48
89,66,132,48
74,63,48,108
122,57,85,61
83,79,52,90
63,57,58,70
66,61,65,109
77,41,71,53
92,49,46,50
145,50,55,64
92,107,56,57
133,62,55,59
115,61,38,97
60,69,88,76
85,55,55,45
64,49,80,93
85,62,66,47
87,52,59,115
127,54,64,59
80,45,64,79
83,52,163,52
73,68,40,55
72,82,63,56
45,124,80,61
99,68,63,111
94,47,49,57
47,55,65,67
56,99,47,64
155,122,55,43
95,46,94,49
128,110,59,51
103,60,55,44
136,57,59,46
76,104,68,52
84,54,65,64
73,66,52,116
79,49,63,58
249,71,51,40
83,86,52,48
73,100,67,63
82,89,34,45
80,81,207,62
68,104,38,50
87,61,63,53
95,61,106,45
82,109,81,71
115,56,56,38
98,55,72,43
98,57,53,48
82,96,98,39
98,60,57,69
132,62,120,48
123,110,60,40
123,46,60,77
100,42,128,48
82,79,50,46
82,46,63,58
127,52,114,60
134,56,57,121
76,71,60,63
155,59,102,58
71,155,103,56
140,63,71,104
37,77,57,78
