player_1_score,player_2_score,player_3_score,player_4_score
125,43,23,40
79,84,16,62
62,73,8,58
90,67,13,45
210,54,21,48
95,84,33,35
83,68,34,36
74,64,30,47
108,123,25,43
85,49,28,73
127,60,27,53
88,49,20,54
83,61,35,25
102,61,19,29
77,57,29,38
72,51,18,57
162,46,21,54
65,94,17,45
92,51,29,27
62,61,19,31
178,100,12,26
61,63,18,38
58,73,28,27
67,72,20,32
77,57,23,48
92,108,24,37
121,43,21,33
68,46,20,40
106,50,18,27
59,93,21,23
79,73,15,48
69,75,16,54
145,117,13,28
113,73,11,31
72,36,35,48
148,52,19,33
118,39,24,70
84,84,30,36
112,48,25,42
99,64,21,44
152,51,33,67
113,85,10,35
81,47,31,41
71,96,21,57
113,63,19,52
108,69,28,42
67,53,21,50
87,61,12,55
134,65,20,31
95,51,20,59
63,47,36,39
72,114,19,58
70,61,25,41
87,69,13,52
82,109,16,35
131,119,17,57
105,52,9,47
85,60,18,48
110,50,24,50
70,73,15,39
104,40,33,49
110,65,21,35
68,83,30,38
124,38,18,47
94,56,25,51
120,122,26,23
82,80,29,41
111,53,19,37
150,53,22,42
92,102,21,24
97,65,21,34
77,84,14,42
106,55,18,28
77,119,19,32
87,77,30,45
120,49,19,42
109,73,18,39
114,70,15,36
176,57,26,34
78,72,18,43
101,59,16,28
57,136,17,31
86,67,21,60
74,51,17,38
105,56,13,33
91,55,21,33
69,58,16,66
106,48,21,56
97,51,15,38
73,89,19,34
135,50,21,52
57,59,28,40
107,54,14,23
79,81,13,32
68,61,27,38
106,39,21,57
118,57,20,24
88,57,21,34
69,58,35,48
111,69,20,52
101,57,17,26
54,67,33,36
115,69,25,31
151,53,18,38
97,85,22,26
110,73,9,16
57,91,17,46
94,46,23,52
88,47,21,60
85,58,23,33
183,118,23,34
85,46,16,42
177,103,17,38
65,140,23,27
126,55,28,40
77,40,23,54
151,69,31,25
84,73,17,32
93,51,36,43
86,75,17,38
103,60,9,32
67,64,25,59
56,60,21,52
83,106,12,51
93,64,27,24
103,67,29,45
82,55,32,40
68,46,15,45
140,53,21,31
67,74,24,47
81,45,21,28
69,90,14,41
184,55,18,30
79,55,27,65
63,45,16,50
80,55,28,42
90,70,30,30
78,79,25,23
97,42,19,58
104,67,24,38
158,45,30,30
76,49,12,41
107,110,21,40
112,62,27,30
85,65,17,33
75,83,20,39
100,63,36,23
63,53,19,59
97,56,15,31
127,59,29,62
79,52,22,36
117,56,17,51
102,53,22,31
80,69,10,43
58,62,21,35
71,41,15,59
169,58,15,32
119,70,21,33
64,136,23,35
183,55,18,56
84,65,14,52
102,142,15,36
138,53,30,33
187,55,22,45
148,36,16,28
55,74,15,44
107,48,22,50
76,109,20,67
176,48,15,35
120,61,10,57
66,96,24,37
104,55,17,45
161,57,18,36
84,73,15,41
94,48,19,46
83,61,18,68
117,73,19,30
73,193,18,33
88,51,24,40
85,50,16,52
97,60,23,39
67,159,14,35
71,52,34,55
63,68,16,48
77,41,22,37
79,65,22,68
92,41,30,38
95,84,12,35
95,75,18,24
60,62,25,37
85,48,27,38
194,79,14,52
151,49,18,76
133,53,11,35
141,62,12,46
102,50,18,42
167,57,17,46
61,61,22,46
84,45,17,27
90,51,12,64
