player_1_score,player_2_score,player_3_score,player_4_score
73,60,59,50
115,57,48,61
107,73,50,149
67,56,40,60
79,159,66,61
79,77,45,35
124,122,75,51
73,75,57,52
68,37,62,42
102,43,64,60
102,54,36,53
147,93,67,50
107,45,49,63
76,96,101,49
81,61,68,34
149,68,40,57
41,81,123,93
79,63,57,69
61,73,72,62
67,106,58,53
92,109,91,50
116,44,58,67
66,46,63,106
72,62,57,52
132,76,108,38
59,65,45,58
81,70,76,47
86,54,113,135
96,59,40,73
76,69,50,78
130,96,51,57
77,66,88,53
181,140,51,37
125,135,65,112
171,103,55,39
82,66,44,39
88,57,119,52
97,102,70,32
79,59,64,39
73,91,48,42
78,69,68,43
72,61,69,51
70,59,85,68
80,126,66,34
137,52,102,49
81,151,56,55
88,108,42,50
92,48,46,53
84,163,53,46
75,86,95,55
96,54,63,39
99,56,56,40
96,44,73,52
76,58,45,49
68,61,103,52
134,65,43,87
77,59,57,80
71,111,51,53
112,48,72,44
73,96,106,42
87,65,87,61
98,68,49,46
70,58,70,45
101,48,48,55
104,36,55,55
92,61,55,47
132,76,41,84
79,113,41,75
81,67,67,48
90,47,56,41
83,43,79,50
96,107,70,42
171,67,45,61
89,122,59,48
92,93,59,41
82,91,51,60
102,57,65,49
75,66,50,42
188,134,59,40
68,101,47,55
63,116,54,42
131,48,77,45
84,116,70,35
62,108,61,65
86,44,53,57
68,136,58,35
106,52,80,57
85,106,54,118
82,48,58,54
114,90,122,66
94,58,70,54
131,106,78,67
67,72,90,115
130,93,40,45
75,52,83,51
93,52,68,48
77,64,56,41
106,68,41,35
136,76,64,138
81,69,52,46
80,115,51,41
139,74,54,48
102,75,52,44
91,72,57,40
142,110,59,55
76,72,56,54
104,57,55,49
80,62,116,33
72,101,45,133
85,67,68,54
69,48,101,69
84,103,70,50
80,50,54,66
92,49,58,54
86,75,42,55
101,60,56,97
106,129,51,48
89,65,52,52
139,59,69,52
71,67,61,31
128,115,54,49
75,54,50,61
