player_1_score,player_2_score,player_3_score,player_4_score
205,101,14,71
125,41,28,72
182,67,26,61
157,24,23,89
225,102,23,78
184,26,24,54
213,129,28,80
236,63,31,75
225,46,12,82
173,88,25,30
335,57,28,38
181,53,19,36
143,95,23,62
286,43,25,66
133,64,13,74
178,61,33,39
190,100,9,89
163,73,20,25
159,98,26,50
156,41,25,55
119,28,21,47
112,45,11,70
176,128,36,52
160,115,32,71
166,89,27,32
181,72,31,68
162,297,25,50
133,22,23,91
156,56,22,74
210,32,22,44
173,47,25,77
181,49,15,69
195,16,26,57
216,30,38,46
143,76,20,121
146,97,19,121
87,42,27,67
183,49,35,84
136,79,25,55
202,79,24,68
122,44,40,58
127,44,25,57
140,29,22,62
268,235,31,68
163,29,31,76
90,22,16,63
153,38,35,82
472,41,26,75
183,41,17,62
174,58,29,32
145,64,22,59
0,27,33,72
141,14,28,25
214,91,16,62
179,35,12,53
200,59,41,89
158,67,29,70
149,80,3,47
166,20,25,61
161,75,14,51
200,30,21,48
201,64,29,18
103,58,22,62
182,106,25,48
0,55,46,72
187,50,11,84
192,47,22,38
293,114,14,113
122,48,19,32
149,61,37,45
134,34,18,74
262,103,2,111
196,96,27,93
162,77,11,63
295,175,32,68
200,123,16,71
287,79,17,66
130,57,32,32
134,50,29,55
178,18,15,75
141,58,34,53
135,43,16,70
198,78,26,36
241,111,23,65
161,82,23,65
202,63,12,113
202,52,18,69
154,82,28,49
148,76,27,46
346,122,26,39
176,69,34,87
174,109,41,59
185,14,25,31
107,80,25,85
193,59,22,58
180,71,10,87
182,24,16,37
221,80,21,55
209,69,12,66
157,116,20,47
168,119,15,45
133,65,12,81
199,116,19,84
216,25,29,52
198,56,37,111
193,55,16,58
110,20,20,45
170,27,22,45
129,61,16,27
141,57,24,46
179,119,24,69
175,133,36,64
210,48,16,31
159,30,27,43
166,83,27,46
139,78,33,76
156,16,40,47
163,79,17,47
147,24,21,101
191,66,13,78
180,174,22,79
158,74,21,57
197,94,12,34
175,55,18,43
191,57,21,45
180,78,29,74
215,44,28,75
254,7,43,35
295,103,19,62
179,67,32,64
110,58,27,56
135,88,23,39
191,33,21,53
173,51,29,63
169,107,21,107
178,26,21,63
188,32,15,73
146,124,26,48
280,78,29,74
0,40,29,65
171,91,30,68
168,82,20,26
140,55,25,51
165,78,27,48
204,0,31,70
155,49,30,28
154,82,28,71
182,17,28,47
156,11,27,126
171,14,28,92
138,80,25,65
159,25,13,57
155,37,29,83
133,31,29,36
0,91,36,134
178,45,24,67
170,100,36,66
357,101,11,62
205,91,15,79
185,5,20,52
0,35,31,125
121,30,21,44
141,70,24,71
121,22,31,32
181,66,7,27
185,15,31,42
225,31,24,64
105,73,15,33
167,68,27,68
165,53,23,77
207,72,15,78
309,41,33,75
203,72,22,58
197,85,28,60
99,22,26,59
247,35,29,74
152,141,28,58
185,51,30,73
166,71,26,105
249,50,26,78
180,87,17,58
174,49,23,51
144,65,22,81
165,37,26,68
163,55,28,74
180,77,35,43
187,8,36,58
166,46,28,56
0,82,29,17
281,137,16,79
244,64,23,95
186,65,38,85
130,23,21,72
153,99,27,39
224,13,23,75
224,188,18,71
202,170,23,57
156,42,29,29
165,27,20,80
181,77,25,83
167,35,35,30
203,78,26,65
190,40,32,123
184,71,24,36
166,52,12,95
196,44,22,75
172,59,29,64
144,28,34,79
198,54,19,56
215,113,35,114
152,69,16,61
165,113,33,78
188,36,10,73
172,34,19,47
206,47,33,109
218,50,32,57
157,60,31,43
198,43,36,76
181,46,24,30
171,19,13,50
151,57,27,36
200,51,27,26
164,66,21,38
147,111,19,16
215,115,22,48
183,63,35,76
127,80,11,41
185,80,36,44
187,67,10,93
177,63,16,58
146,79,36,69
324,170,29,77
218,177,38,58
258,40,16,60
195,34,16,32
169,58,31,75
155,108,23,67
189,67,40,37
175,113,18,69
142,24,23,41
191,52,27,46
0,130,27,63
168,19,23,70
214,101,14,79
178,61,25,60
278,93,25,37
207,98,30,67
160,60,28,104
129,105,22,57
130,51,22,62
153,55,23,111
140,56,28,71
176,41,27,82
115,102,26,27
170,41,22,32
181,50,30,85
0,83,25,79
232,83,31,76
183,103,12,90
193,28,21,27
181,77,35,100
199,50,23,69
232,82,35,73
194,54,24,50
235,48,24,69
243,107,16,89
129,30,11,83
183,33,18,44
168,62,22,43
208,74,30,43
172,38,13,57
195,117,14,65
195,95,40,89
151,79,27,63
194,158,31,75
166,57,28,74
184,87,27,75
185,97,26,47
194,76,10,46
180,76,27,122
136,44,21,25
0,109,47,65
157,21,26,53
129,97,25,59
170,61,14,44
206,98,37,121
172,205,45,63
164,90,14,47
155,47,27,70
112,81,30,50
193,64,10,60
195,81,14,55
177,78,26,30
178,59,27,52
155,33,25,52
162,33,31,69
170,59,16,44
163,62,37,35
160,24,28,103
198,77,13,97
231,37,33,54
217,53,26,59
208,104,26,59
183,24,24,48
123,49,23,53
112,48,21,70
182,26,13,72
205,57,26,67
184,36,10,54
156,59,30,58
228,278,28,64
171,92,13,66
169,61,32,40
165,22,27,50
206,31,23,41
151,30,11,71
192,44,26,75
307,62,24,89
139,38,21,83
153,23,37,53
184,38,17,104
178,69,38,81
148,179,18,71
167,19,19,42
146,50,3,56
137,31,28,60
225,74,46,36
169,16,23,53
171,56,19,20
179,137,31,66
234,22,10,75
173,70,24,91
166,152,25,78
150,57,24,73
153,40,20,62
186,30,28,66
188,57,7,62
208,62,25,92
205,42,26,50
155,76,31,45
188,58,28,45
167,45,14,12
131,21,23,51
164,73,13,35
137,23,24,57
196,72,26,77
187,102,28,74
140,30,26,23
166,65,11,68
180,84,22,70
285,51,30,116
141,79,28,47
190,97,21,55
0,100,46,96
150,81,26,36
162,41,27,60
222,147,23,70
275,84,36,38
169,100,38,60
162,19,23,54
356,72,17,45
